document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1762.0,41302aa7bad6f075fe8136e3421400b4__55af2ecd9062df45066718bd98d02d5c9c52f52c8535b27fb32aee9522c1a6cd,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,25,42,"B. Mitigation, including response measures.................................................................................",1.0,explorer
UNFCCC.non-party.1762.0,41302aa7bad6f075fe8136e3421400b4__55af2ecd9062df45066718bd98d02d5c9c52f52c8535b27fb32aee9522c1a6cd,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,25,42,"B. Mitigation, including response measures.................................................................................",1.0,explorer
UNFCCC.non-party.1762.0,33f3902d1d743ab4fa527fdd76b3a3ef__b0d19f208fd25b2950c7138158b4d7f26ed1a716c5b76e36d1067c582d1ff81b,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,25,42,"B. Mitigation, including response measures",1.0,explorer
UNFCCC.non-party.1762.0,beb964d8165ae37f1ef5b3e5186ee760__7de7a22098010f572e8e4244ae7dd1e063563877183035ecf8fd74dfb148c310,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,88,105,"Key finding 8: economic diversification is a key strategy to address the impacts of response measures, with various options that can be applied in different contexts.",1.0,explorer
UNFCCC.non-party.1762.0,beb964d8165ae37f1ef5b3e5186ee760__7de7a22098010f572e8e4244ae7dd1e063563877183035ecf8fd74dfb148c310,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,227,244,"Informed approaches can address negative impacts of response measures and promote positive synergies within LT-LEDS, including through economic diversification.",1.0,explorer
UNFCCC.non-party.1762.0,beb964d8165ae37f1ef5b3e5186ee760__7de7a22098010f572e8e4244ae7dd1e063563877183035ecf8fd74dfb148c310,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,417,434,Economic diversification is one of the strategies to address negative impacts of response measures and promote positive synergies.,1.0,explorer
UNFCCC.non-party.1762.0,0d52574414db11917d60685866f3a097__98309e6ec4682ceddebeed7030697f0c52f13bf5428e75f67b2d02e045846771,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,64,81,(i) Address the social and economic consequences and impacts of response measures;,1.0,explorer
UNFCCC.non-party.1762.0,11ab172bd8703c256002ab94002d46d7__2de7829e6f8ce97ae7b5bf71b2cd2f8563c869d2c95b3ed9aa1b6f49bb3ac1e6,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,376,393,"The TD considered efforts related to the social and economic consequences and impacts of response measures and to averting, minimizing and addressing loss and damage associated with the adverse effects of climate change (see annex I for a better understanding of the sources of specific information used in preparing key findings and supporting information).",1.0,explorer
UNFCCC.non-party.1762.0,33f3902d1d743ab4fa527fdd76b3a3ef__b0d19f208fd25b2950c7138158b4d7f26ed1a716c5b76e36d1067c582d1ff81b,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,25,42,"B. Mitigation, including response measures",1.0,explorer
UNFCCC.non-party.1762.0,f2c8290d1e16a2f52002b910755687e2__8406e2d5d5bbb5ff4bf627db47ac16d7e4f96a3e06251bde660a9b292091338f,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,89,106,"Key finding 8: economic diversification is a key strategy to address the impacts of response measures, with various options that can be applied in different contexts.",1.0,explorer
UNFCCC.non-party.1762.0,d453b79967fc592dd34e36c82bae6dfb__fac18aa178aeb785cbe96f4b2a7d44054d727f699b1b9da6279d45377dd9b883,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,57,74,"Informed approaches can address negative impacts of response measures and promote positive synergies within LT-LEDS, including through economic diversification.34 Just transitions need to create decent work and quality jobs and protect the communities that depend on them.",1.0,explorer
UNFCCC.non-party.1762.0,d453b79967fc592dd34e36c82bae6dfb__fac18aa178aeb785cbe96f4b2a7d44054d727f699b1b9da6279d45377dd9b883,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,936,953,Economic diversification is one of the strategies for addressing the negative impacts of response measures and promoting positive synergies.,1.0,explorer
UNFCCC.non-party.1762.0,bf3fe0766bfa538a8ed8ddf6334e4bd4__d86de8f2a8a57e0da9ebca4e53a3577c7932fc79cc95e3a055b29a3ff908f367,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,26,43,"Mitigation, including response measures",1.0,explorer
UNFCCC.non-party.1762.0,8780017270efe8704bca4b1209aee881__ff54e67e20733aa74401f03b343c6870b97716eac07ba2562ad5a21cbe2c3885,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,310,327,"The TDs were organized in a variety of formats, including opening and closing plenaries, world cafés, round tables (TD1.2 included four breakout groups established per round table after an initial introduction by the co-facilitators) and focused exchanges1 organized in four clusters: mitigation, including response measures; adaptation, including loss and damage; means of implementation and support; and integrated and holistic approaches.",1.0,explorer
UNFCCC.party.1758.0,12d7d74606efa35af8b7087b4aaa0f92__4163613b3c9e216182f3994f60bf057d1f09e3a2de6b90e5ce3f410725950349,RESPONSE_MEASURES,RESPONSE_MEASURES,Response measures,0,17,Response measures,1.0,explorer
UNFCCC.party.1758.0,ee91529b8a5a359ab70cdea493bf123e__06b94183828c09c53655df47b864822b84efbbf1ba5760b3544e3fb531c9edf0,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,47,64,"In Denmark, the government’s proposals for new response measures to put before the parliament are in most cases accompanied by an assessment of the consequences in relation to socio-economic cost and – when effects on the environment are expected – also by an assessment of the consequences in relation to Denmark’s greeenhouse gas emissions.",1.0,explorer
UNFCCC.party.1756.0,c11814f9a6f3f2293b23bbe25deac261__152c2b57a0ec40b99d6211aeea0cad57cd02f2451ba2a8dc791c3584142a9952,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,226,243,"Potential measures and good practices should be identified separately for the three thematic areas of the GST (mitigation, adaptation, and means of implementation and support), and, as appropriate, include loss and damage and response measures.",1.0,explorer
UNFCCC.non-party.1751.0,190ea6792311be65c9a68d9db61ce6d4__fb75303371551a6ca43a4ba6c885beec70a578fb53820802b0ee0658f2055cd6,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,539,556,"Malawi reported in its first BUR information on its national circumstances, including a description of national and regional development priorities, objectives and circumstances, including features of geography, climate, policy and economy that might affect the Party’s ability to deal with mitigating and adapting to climate change, as well as information regarding national circumstances and constraints on the specific needs and concerns arising from the adverse effects of climate change and/or the impact of the implementation of response measures, as referred to in Article 4, paragraph 8, and, as appropriate, Article 4, paragraphs 9–10, of the Convention.",1.0,explorer
UNFCCC.non-party.1755.0,4680a87bb877b7b948466fb8a6ffa6ba__c25932d3bfc583108dcb67ff712f00526dcf946323c670cf9e97870dc7afb8a7,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,538,555,"Suriname reported in its first BUR information on its national circumstances, including a description of national and regional development priorities, objectives and circumstances, including features of geography, climate and economy that might affect the Party’s ability to deal with mitigating and adapting to climate change, as well as information on national circumstances and constraints in relation to the specific needs and concerns arising from the adverse effects of climate change and/or the impact of the implementation of response measures, as referred to in Article 4, paragraph 8, and, as appropriate, paragraphs 9–10, of the Convention.",1.0,explorer
UNFCCC.non-party.1759.0,bbdb08f290e25ca64f389bfcc302fdb7__b6db309002743a6666ad60252c920fa94c30f28d17c1ce8d722e845a69bfc706,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,174,191,"What is the collective progress in terms of the current implementation of, and ambition in, efforts made that address the social and economic consequences and impacts of response measures while implementing mitigation policies and actions towards the achievement of the Paris Agreement goals?",1.0,explorer
UNFCCC.party.1752.0,16e88c1be779c3d079b871f3a2b9fa0e__9642683150916aede584465d4565ec7d5b0f9fb50bb965c9fda62bd870de8d39,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,3,20,of response measures..........................................................................................................280,1.0,explorer
UNFCCC.party.1752.0,b437b7736c4b5feb3e2431c13d92dc70__59de920bec6a77cb97c84b7cb0bdd94212ed88f31d97b59b5486a305e69754e5,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,138,155,"The inclusion of covid19 requires the addition of several variables, representing (i) impacts of the outbreak (e.g. consumption) and (ii) response measures (e.g. public stimulus).",1.0,explorer
UNFCCC.party.1752.0,1657541a438a41e859635a3d6ff291da__961fc35ed99c9c0ddb57166033c38361a16dded7f3051d7aae9933ac9ec5af33,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,77,94,3.3 Information on the assessment of the economic and social consequences of response measures,1.0,explorer
UNFCCC.non-party.1749.0,0d22bbff5c67ddf1479f5417fbd978d3__e5eb556b0f748f845094cb543996027b5e8aa0b328743323e186888b4d64db79,RESPONSE_MEASURES,RESPONSE_MEASURES,response measures,521,538,"In its fifth BUR, Singapore provided an update on its national circumstances, including a description of national development priorities, objectives and circumstances, including features of geography, climate and economy that might affect the Party’s ability to deal with mitigating and adapting to climate change, as well as information on national circumstances and constraints in relation to specific needs and concerns arising from the adverse effects of climate change and/or the impact of the implementation of response measures, as referred to in Article 4, paragraph 8, and, as appropriate, paragraphs 9–10, of the Convention.",1.0,explorer
