document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
CCLW.GST.817.817,c32d454b442827d7699d949e97c08979__5987c9fe30be0c4adee955599b93584235cb9a6529a720eb194ea97578a21c9d,HAZARD_MANAGEMENT_TECHNOLOGIES,MONITORING_SYSTEMS,monitoring system,843,860,"Lesotho reported that its financial, technical and capacity-building needs are primarily in the areas of improving the accuracy of AD, collecting data on existing refrigerators and air-conditioning units, building expertise in using the 2006 IPCC Guidelines, developing country-specific EFs, improving data collection on waste, improving the land monitoring system, monitoring and tracking mitigation actions and effects, promoting smart agriculture and strengthening the existing MRV system.",1.0,explorer
CCLW.GST.520.520,c14aea2364d1eee4969920538999f8ea__478a4adb3c9825f0d68aa4d8503e0db5c0fedc84b7b5d8f727b3e9b45ab28fb3,HAZARD_MANAGEMENT_TECHNOLOGIES,REMOTE_SENSING,remote sensing,399,413,"By performing a series of checks to our remote sensing data, intermediate land-use changes were then corrected to ensure smoother transitions, such that each land-use change relates to a more realistic estimate of carbon stock changes.",1.0,explorer
CCLW.GST.520.520,772daa8a4fe3ff5f72a9a10eb54e8ec2__61b195a0d404a9866a56f108a923846c35259b4e54ee2698e93b5d840025c933,WATER_MANAGEMENT_AND_CONSERVATION_TECHNOLOGIES,WATER_RECYCLING_AND_RECLAMATION,water reclamation,80,97,Used water from both domestic and nondomestic sources is conveyed via sewers to water reclamation plants (WRPs) for treatment.,1.0,explorer
CCLW.GST.520.520,9589b49eb15c5bec504a74ea7c7617c1__f576bc71ce4eb8bb174f3fa40d0edf697f4a0af35e830ad6c0e04c245eb5959a,WATER_MANAGEMENT_AND_CONSERVATION_TECHNOLOGIES,WATER_TREATMENT,water treatment,121,136,"The clean energy generated is sufficient to power PUB's five local water treatment plants and the Marina Barrage, offsetting approximately 7% of",1.0,explorer
CCLW.GST.520.520,e68430e744e575c34c9a8f3e81909f48__fc1d9cd34ce0b7c932f69afcbc09c3661a6d285985efbf995f65acb82142639a,ENERGY_AND_POWER_TECHNOLOGIES,GRID_RESILIENCE,grid resilience,54,69,"To manage the intermittent nature of solar and ensure grid resilience, we have set out a target to deploy at least 200 megawatts (MW) of ESS beyond 2025.",1.0,explorer
CCLW.GST.520.520,93f471ec72efd1408a23780b31361a3f__9355d1f7929b8ba5736945e2b4150ce4d50c5ff7a28deb3afaafb1506a95c554,WATER_MANAGEMENT_AND_CONSERVATION_TECHNOLOGIES,WATER_TREATMENT,water treatment,157,172,"One key initiative in progress
is the co-location of a used water treatment plant (Tuas Water Reclamation Plant (TWRP)) and an Integrated Waste Management Facility",1.0,explorer
CCLW.GST.520.520,93f471ec72efd1408a23780b31361a3f__9355d1f7929b8ba5736945e2b4150ce4d50c5ff7a28deb3afaafb1506a95c554,WATER_MANAGEMENT_AND_CONSERVATION_TECHNOLOGIES,WATER_RECYCLING_AND_RECLAMATION,Water Reclamation,185,202,"One key initiative in progress
is the co-location of a used water treatment plant (Tuas Water Reclamation Plant (TWRP)) and an Integrated Waste Management Facility",1.0,explorer
CCLW.GST.208.208,30b45dde87e60420dfe5a18781b73030__664bce676c2c45a568c9b8de846afb817f758f8625ae910a078057054d88267d,HAZARD_MANAGEMENT_TECHNOLOGIES,VULNERABILITY_ASSESSMENT_TOOLS,vulnerability assessment,181,205,"The report acknowledges that, in order to combat the negative impacts of climate change, an effective strategy focusing on all four of GHG features including inventory preparation, vulnerability assessment, adaptation, and mitigation actions is required.",1.0,explorer
CCLW.GST.208.208,0155754daf49fa193772bbc3ea14ccbb__751a6c3eb7a9f8b6e415ade8831d4b91ee2a5b239bfa31948007ccd99d320f46,AGRICULTURE_AND_LAND_MANAGEMENT_TECHNOLOGIES,TERRACING,terracing,626,635,"Based on our study results, it is suggested that strategies like: bringing more area under cultivation in north-western and mid-western parts of Pakistan; multi-cropping and terracing options, early planting to avoid heat stress; and, developing drought tolerant and heat resistant varieties, can be wise options to minimize climate change impacts on wheat crop in Pakistan.",1.0,explorer
CCLW.GST.208.208,ba23740e0a08ff777d9d25b86080a4d5__756d9428c811a59a3339f1ce9361ead346866ae71ce461b8220b0b8088b13c94,HAZARD_MANAGEMENT_TECHNOLOGIES,MONITORING_SYSTEMS,Monitoring System,506,523,"This information is collected from various national and international sources including Forest Reference Emission Levels/Forest Reference Level and National Forest Monitoring System, Measurement, Reporting and Verification System for REDD+ (MoCC, 2019); Agriculture Statistics of Pakistan 2017-18 (MoNFSR, 2018), Food and Agriculture Organization of the United Nations (FAOSTAT, 2018) and Forestrypedia of Pakistan.",1.0,explorer
