document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1855.0,a7820285a0ca691e67a498fbc3615466__6002ee69609db3088ffb63ab083d0bc70682ba127c6aa9d5b78fa784afe47d7a,HAZARD_MANAGEMENT_TECHNOLOGIES,VULNERABILITY_ASSESSMENT_TOOLS,vulnerability assessments,761,786,"It does so by developing climate risk and vulnerability assessments that include the local dimension, downscaling climate models, identifying and mapping climate risks, exposure, and vulnerabilities at the subnational and local/community levels, and prioritizing climate change adaptation activities and investments.",1.0,explorer,
UNFCCC.non-party.1855.0,5ba139da757fb3b1c918194ad8bf0f92__12cb3c1d5d8593277b68adfc12155c27d8506412ec6d503205ecba057a792023,HAZARD_MANAGEMENT_TECHNOLOGIES,VULNERABILITY_ASSESSMENT_TOOLS,Vulnerability assessment,211,235,Vulnerability assessment offers a way to circumvent the absence,1.0,explorer,
UNFCCC.non-party.1855.0,5ba139da757fb3b1c918194ad8bf0f92__12cb3c1d5d8593277b68adfc12155c27d8506412ec6d503205ecba057a792023,HAZARD_MANAGEMENT_TECHNOLOGIES,VULNERABILITY_ASSESSMENT_TOOLS,vulnerability assessments,17,42,"Climate risk and vulnerability assessments are complementary processes, each of which enhances the government's understanding of the risks it faces due to climate change as well as its capacity to address them.",1.0,explorer,
UNFCCC.non-party.1855.0,9d43781d7714fbf21d1530da5f07c1d4__c160c9073f6c5b77a07332df331ac7e4a74e95a7487939fa3f1678caf6279b57,HAZARD_MANAGEMENT_TECHNOLOGIES,VULNERABILITY_ASSESSMENT_TOOLS,vulnerability assessment,479,503,"Alternatively, it could be useful for a local government to conduct a vulnerability assessment and then use a risk assessment framework to analyse the areas of key vulnerability.",1.0,explorer,
UNFCCC.party.1852.0,ae87ee1ac52b29e6417cc74512778a19__772be362e0d92b5e199d8a47fc2411de35d405bcbe928eb61d6381f7a2909ad5,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,37,58,Rapid response teams and access to early warning systems are required for L&D.,1.0,explorer,
UNFCCC.party.1833.0,7d650a7af9d1619af6e165c3c6dcdd2f__bdb456cc8458419f71e4483109d1a47b18a7d32addfc581b359071950543e7b4,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,751,772,"It should give specific recommendations on key actions that should be taken across the spectrum of actions to avert, minimize and address loss and damage, including with regards to comprehensive risk assessment and management, early warning systems, emergency preparedness, post-disaster relief and reconstruction, including building back better.",1.0,explorer,
UNFCCC.non-party.1854.0,4ef234c7ef241b1579a08de17bff3ded__520f6e0f5a7da6369723052041f520b86854e1bb8b495b94a1cef537d4c21fa7,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,49,70,O 100% of children are protected by multi-hazard early warning systems and have access to information concerning climate-related risk.,1.0,explorer,
UNFCCC.non-party.1854.0,bc5a257f3131cfa4de2eee2ff081a6e6__e85dfaa5b2d163578d7db2933fd23022ca96b5136e9d58ee3e278af60a37926b,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,828,849,"If current trends continue, by 2025 climate change will be a contributing factor in preventing at least 12.5 million girls from completing their education each year.20 Girls' lack of access to education compounds their vulnerability by reducing their access to information about climate change and preparedness measures, including access to timely and life-saving early warning systems.",1.0,explorer,
UNFCCC.party.1879.0,c62533cae9a94ff19595acc32ee83028__2993428d2477bedecd48ba2c4ab0263182245620e3bae18e78cc137b0a1a7515,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,325,346,"· Strengthened efforts to address existing gaps in the Global Climate Observing System, particularly in developing countries, as well as the need to enhance coordination of activities by the systematic observation community and the ability to provide useful and actionable climate information for mitigation, adaptation, and early warning systems, as well as information to enable understanding of adaptation limits and of attribution of extreme events.",1.0,explorer,
UNFCCC.party.1879.0,dc109a340458a9e5e77ad652e61841dd__d48d4b68ee9b22f8786ba4333114821f4488725aa803deabbbce2c806d52481b,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,122,143,"In line with the United Nations Secretary-General's ""Early Warning for All"" Initiative, expanding universal coverage of early warning systems against hazardous weather, water or climate events by 2027, connected to risk management systems, and supported by effective risk communication and public stakeholder dialogue to prompt informed action.",1.0,explorer,
