document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1740.0,3c1744d8342d4fdb03c8ce15f99b79fb__fe90cb6008141a0daef1d0e91bfdb3224c714d5dbb1ecce101656f2e847a71b7,AGRICULTURE_AND_LAND_MANAGEMENT_TECHNOLOGIES,PRESCRIBED_FIRE,prescribed fires,215,231,"Forest fires, pests and other disturbances
will increasingly threaten conventional CDR on land owing to global warming, requiring
further interventions (e.g. thinning, prescribed fires) to preserve these removals 237.",1.0,explorer
UNFCCC.party.1736.0,8871f8fceef9ab2f38d9adbcb2b225f0__7ccae45d3353658c71cdbf5a863d564bb1e99e41ca3525fcbe6698af40c8d935,WATER_MANAGEMENT_AND_CONSERVATION_TECHNOLOGIES,WATER_RESERVOIRS,water reservoirs,428,444,"Unusual weather conditions during the winter of
1997/1998 led to unfavourable water conditions for the hydropower plants, with unusually low levels in the
water reservoirs leading to less electricity production.",1.0,explorer
UNFCCC.party.1736.0,5694b38b1ad7b8a40ac406db4851bf0d__210baa1f08fe91958177548076d18d74e76a13fb502b796053f058f35ec797cd,HAZARD_MANAGEMENT_TECHNOLOGIES,MONITORING_SYSTEMS,monitoring systems,726,744,The first part of the project has been to set up monitoring systems for the vegetation cover of land.,1.0,explorer
UNFCCC.party.1736.0,1e03f16f68114ac337066814fde14d98__3a929af6d057ba70ca048212a2cddc06702addb5fdd99ff376e5ad3db1215068,WATER_MANAGEMENT_AND_CONSERVATION_TECHNOLOGIES,WATER_RESERVOIRS,water reservoirs,155,171,"Unusual weather conditions during the winter of 2021-2022 led to unfavourable water conditions for the hydropower plants, with unusually low levels in the water reservoirs leading to less electricity production.",1.0,explorer
UNFCCC.party.1736.0,5b28943276ae83ee590e6d36875c623b__8e5d79b1fddc0b1c10a10ce4250cb1570c1ac7ee5f09c9e48d139ffa515098dc,HAZARD_MANAGEMENT_TECHNOLOGIES,GPS,GPS,38,41,Figure 6.5 Crustal uplift measured by GPS at Höfn in Hornafjörður in SE-Iceland,1.0,explorer
UNFCCC.party.1736.0,beb7cc4ed77fb505355c7b1511535c55__dbfd6bd149bab8dcb484308e5a069c2a0736a64b138b5b79de2f748521cd7733,HAZARD_MANAGEMENT_TECHNOLOGIES,GPS,GPS,78,81,"The Icelandic Meteorological Office operates a network of continuous geodetic GPS stations in Iceland to monitor crustal deformation related to plate movements, volcanic unrest and earthquakes.",1.0,explorer
UNFCCC.party.1736.0,130a3fa08e2deb88bf356d411e8f4b7e__42406a49cf52a7a2a075f02bc3453aee13e22f71505c5648dc5d713f33caf0af,WATER_MANAGEMENT_AND_CONSERVATION_TECHNOLOGIES,WATER_TREATMENT,water treatment,855,870,"Hislogicaltracava të udhi waste
D. Waste water treatment and dischunge
• Other for specified in saumwy LAJ
M.
Aviation
Navigatia
Maltilateral spra
wp100
CO: captand
Long-t vrage of C is wote chsposal sites
",1.0,explorer
UNFCCC.party.1736.0,0dd5d2db7b823c07db2b9044956ad752__163832054bd2469a695b751c86d2a3118a27853efa83021c780aae882c39cd9c,WATER_MANAGEMENT_AND_CONSERVATION_TECHNOLOGIES,WATER_TREATMENT,water treatment,855,870,"Hislogicaltracava të udhi waste
D. Waste water treatment and dischunge
• Other for specified in saumwy LAJ
M.
Aviation
Navigatia
Maltilateral spra
wp100
CO: captand
Long-t vrage of C is wote chsposal sites
",1.0,explorer
UNFCCC.party.1736.0,9d376293e8954f8163bd4744f78385a0__0bfdaab59877bfdb95fc3345c465732df15dd8705fde6ea3e19d3b955398e9d0,WATER_MANAGEMENT_AND_CONSERVATION_TECHNOLOGIES,WATER_TREATMENT,water treatment,855,870,"Hislogicaltracava të udhi waste
D. Waste water treatment and dischunge
• Other for specified in saumwy LAJ
M.
Aviation
Navigatia
Maltilateral spra
wp100
CO: captand
Long-t vrage of C is wote chsposal sites
NO
da Co,
Co,""
SORT
14.30
6.30
76.12
NO
NO
31
6.31
BYDE
731
6.07
BAL
NLI
500
--44.35
100.37
LE SORD
2141
NA
NONA
NONA
NA
5001
247.6
213.41
SEE
500
1.34
NONA
NONENA
CH
4069.72
958
0.00
1155
D.DE
DEJ
NO
DUAN
MONA
NA
DUG
NA
372.4
DA
NO
NENA, NO
NO
NONE, NA
NO
34790.7
tro
3095
FROM
NO, NA
NO
NO
0.12
POTO
BOTO
N0
NO
30054
PISZ
25UM
SOTO
TO
2135
0.00
NONA
NO
ON YN
47.000
17.15
2420.01
NE, NA NOLNEJE,NA
NA
NA
NA
NA
245.00
",1.0,explorer
UNFCCC.party.1736.0,7bd14ef8b9594c697f640f215bb76efd__946a434ce6598b614f415fd828dc1da7f387010c9f6175c4237f2a0d2c05ee6b,WATER_MANAGEMENT_AND_CONSERVATION_TECHNOLOGIES,WATER_TREATMENT,water treatment,855,870,"Hislogicaltracava të udhi waste
D. Waste water treatment and dischunge
• Other for specified in saumwy LAJ
M.
Aviation
Navigatia
Maltilateral spra
wp100
CO: captand
Long-t vrage of C is wote chsposal sites
",1.0,explorer
UNFCCC.party.1736.0,747a15bbe68c16c3a609c2032a70f137__06bfe6f34ae8fd86941878a249f449c1c235b8fe594dd438ac765d6cd3cf85d2,WATER_MANAGEMENT_AND_CONSERVATION_TECHNOLOGIES,WATER_TREATMENT,water treatment,855,870,"Hislogicaltracava të udhi waste
D. Waste water treatment and dischunge
• Other for specified in saumwy LAJ
M.
Aviation
Navigatia
Maltilateral spra
wp100
CO: captand
Long-t vrage of C is wote chsposal sites
",1.0,explorer
UNFCCC.party.1736.0,e2bd947d81e515eaa695f360a8d0c061__0a9e0938af1f9fe214b1b6db152543787b0c901d7edea1cf0946d658f553c015,WATER_MANAGEMENT_AND_CONSERVATION_TECHNOLOGIES,WATER_TREATMENT,water treatment,853,868,"Hislogicaltracava të udhi waste
D. Waste water treatment and dischunge
• Other for specified in saumwy LAJ
M.
Aviation
Navigatia
Maltilateral spra
wp100
CO: captand
Long-t vrage of C is wote chsposal sites
",1.0,explorer
UNFCCC.party.1736.0,de23c24cca257ccafffa2a036b517358__4f192d448b39eac13c1c5df9c3027c233319a77ebde340edb9c857080ad21d48,WATER_MANAGEMENT_AND_CONSERVATION_TECHNOLOGIES,WATER_TREATMENT,water treatment,855,870,"Hislogicaltracava të udhi waste
D. Waste water treatment and dischunge
• Other for specified in saumwy LAJ
M.
Aviation
Navigatia
Maltilateral spra
wp100
CO: captand
Long-t vrage of C is wote chsposal sites
",1.0,explorer
UNFCCC.party.1736.0,fe53e8b56a41069c10112a39110afb62__d59491918e4d3c7856f0f90115b903b106a84c676c63cd3392fc8bee904a21b8,WATER_MANAGEMENT_AND_CONSERVATION_TECHNOLOGIES,WATER_TREATMENT,water treatment,853,868,"Hislogicaltracava të udhi waste
D. Waste water treatment and dischunge
• Other for specified in saumwy LAJ
M.
Aviation
Navigatia
Maltilateral spra
wp100
CO: captand
Long-t vrage of C is wote chsposal sites
",1.0,explorer
