document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1859.0,4dc6d408a7355411d7bab7b011d4133b__fdb5ad4c9071eff5f63395201b84e5df472223b6f03034c441098ad611062d2d,BUILDINGS_AND_HOMES_TECHNOLOGIES,HEAT_PUMPS,heat pumps,719,729,These reductions can be achieved through 1) significant increases in generation and direct uses of renewables-based electricity; 2) substantial improvements in energy efficiency; 3) the electrification of end-use sectors (e.g. electric vehicles and heat pumps); 4) clean hydrogen and,1.0,explorer,
UNFCCC.non-party.1859.0,4dc6d408a7355411d7bab7b011d4133b__fdb5ad4c9071eff5f63395201b84e5df472223b6f03034c441098ad611062d2d,TRANSPORT_TECHNOLOGIES,ELECTRIC_VEHICLES,electric vehicles,697,714,These reductions can be achieved through 1) significant increases in generation and direct uses of renewables-based electricity; 2) substantial improvements in energy efficiency; 3) the electrification of end-use sectors (e.g. electric vehicles and heat pumps); 4) clean hydrogen and,1.0,explorer,
UNFCCC.non-party.1859.0,16dacf7b3cc9271cc45f3f6f00fb878d__43db743a3a32b798263997aff24efd806a4df866bccdb9958f2ca949983df0df,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon capture,43,57,its derivatives; 5) bioenergy coupled with carbon capture and storage; and 6) last-mile use of carbon capture and storage.,1.0,explorer,
UNFCCC.non-party.1859.0,16dacf7b3cc9271cc45f3f6f00fb878d__43db743a3a32b798263997aff24efd806a4df866bccdb9958f2ca949983df0df,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon capture,95,109,its derivatives; 5) bioenergy coupled with carbon capture and storage; and 6) last-mile use of carbon capture and storage.,1.0,explorer,
UNFCCC.non-party.1859.0,381c31125b0af9ca3c75813b77709d6a__caacb7473983067b8ade67598596b11123dada1e60c375683147da506b39506f,ENERGY_AND_POWER_TECHNOLOGIES,DISTRICT_HEATING_AND_COOLING,district heating,32,48,"Solar thermal, geothermal and district heating solutions to be scaled up to 60 EJ, 1.3 times the 2019 levels.",1.0,explorer,
UNFCCC.non-party.1859.0,ceb263b03fcf52609b63eff325272dc9__d803160b301f4883079e7d182b6c57c1f390fb9684de466f5d395bfecdb011d3,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCS,2,5,· CCS in industry :selected:,1.0,explorer,
UNFCCC.non-party.1859.0,2e9f95bd7c7f163996c8c2eae76b6e8d__e8aa8127230d127cfbc77c467cfe2aed2ff0d1357b26d5858d4619da0d2029af,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon removal,16,30,BECCS and other carbon removal measures,1.0,explorer,
UNFCCC.non-party.1859.0,2e9f95bd7c7f163996c8c2eae76b6e8d__e8aa8127230d127cfbc77c467cfe2aed2ff0d1357b26d5858d4619da0d2029af,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,BECCS,0,5,BECCS and other carbon removal measures,1.0,explorer,
UNFCCC.non-party.1859.0,971ae75428fc373b987a844d8356060a__75359807261193382b13c6bd852411eac980decb9a625aea040cb28ea6981cae,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon capture,43,57,Note: GW - gigawatt; Gt - gigatonne; CCS - carbon capture and storage; BECCS - bloenergy combined with carbon capture and storage.,1.0,explorer,
UNFCCC.non-party.1859.0,971ae75428fc373b987a844d8356060a__75359807261193382b13c6bd852411eac980decb9a625aea040cb28ea6981cae,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCS,37,40,Note: GW - gigawatt; Gt - gigatonne; CCS - carbon capture and storage; BECCS - bloenergy combined with carbon capture and storage.,1.0,explorer,
UNFCCC.non-party.1859.0,971ae75428fc373b987a844d8356060a__75359807261193382b13c6bd852411eac980decb9a625aea040cb28ea6981cae,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,BECCS,71,76,Note: GW - gigawatt; Gt - gigatonne; CCS - carbon capture and storage; BECCS - bloenergy combined with carbon capture and storage.,1.0,explorer,
UNFCCC.non-party.1859.0,971ae75428fc373b987a844d8356060a__75359807261193382b13c6bd852411eac980decb9a625aea040cb28ea6981cae,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon capture,103,117,Note: GW - gigawatt; Gt - gigatonne; CCS - carbon capture and storage; BECCS - bloenergy combined with carbon capture and storage.,1.0,explorer,
UNFCCC.non-party.1859.0,8ef4e29b7c50f13a56928bc39b14239a__c98875b577743a4a44b8d1709c28992aa03bf7a2a27f37c48d330ef653a87385,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon removal,52,66,"The total CO2 captured from CCS, BECCS and other carbon removal and storage measures must be scaled up to reach 8.5 Gt by 2050 from 0.04 Gt in 2020.",1.0,explorer,
UNFCCC.non-party.1859.0,8ef4e29b7c50f13a56928bc39b14239a__c98875b577743a4a44b8d1709c28992aa03bf7a2a27f37c48d330ef653a87385,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,BECCS,36,41,"The total CO2 captured from CCS, BECCS and other carbon removal and storage measures must be scaled up to reach 8.5 Gt by 2050 from 0.04 Gt in 2020.",1.0,explorer,
UNFCCC.non-party.1859.0,8ef4e29b7c50f13a56928bc39b14239a__c98875b577743a4a44b8d1709c28992aa03bf7a2a27f37c48d330ef653a87385,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CO2 captured,13,25,"The total CO2 captured from CCS, BECCS and other carbon removal and storage measures must be scaled up to reach 8.5 Gt by 2050 from 0.04 Gt in 2020.",1.0,explorer,
UNFCCC.non-party.1859.0,8ef4e29b7c50f13a56928bc39b14239a__c98875b577743a4a44b8d1709c28992aa03bf7a2a27f37c48d330ef653a87385,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCS,31,34,"The total CO2 captured from CCS, BECCS and other carbon removal and storage measures must be scaled up to reach 8.5 Gt by 2050 from 0.04 Gt in 2020.",1.0,explorer,
UNFCCC.non-party.1863.0,416a7da0c56ecba3aaccccf85a5898a6__d42befdc2a5f024488e35c68614734636c53fcf036a88f461f2c57faf298073b,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Capture,592,606,"Parties should also acknowledge the fact that natural gas is also a fossil fuel that we need to transition away from, and exclude all false solutions and related technologies such as Carbon Capture Storage, nuclear energy or solar radiation management, that prolong dependence on fossil fuels and come with high human rights risks.",1.0,explorer,
UNFCCC.non-party.1857.0,a32e6177a6f9d21764784de9c745e802__379d99e8e3d354c4a62c3631149348aacb7931cd6b04e8b5c33228f290085c1c,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCS,281,284,"For emissions reductions in the energy sector to be effective, we cannot rely on false solutions which have been proven to be unviable at scale, such as CCS, an over-reliance on off-setting, or so-called ""efficient"" fossil fuels, as these options would continue to worsen global warming and would continue to harm people, due to the impacts not only of fossil fuel combustion but also of extraction and processing.",1.0,explorer,
UNFCCC.non-party.1861.0,6056f2c1a431d5c51d7298a1175f4b20__935182559209760be3ff2778b16d4885a2bd865eb0b9a50e869a48fcbae429e1,TRANSPORT_TECHNOLOGIES,ELECTRIC_VEHICLES,electric vehicle,60,76,- Reduce demand for land-based transportation and implement electric vehicle technologies.,1.0,explorer,
UNFCCC.party.1850.0,4887195cbeb4a18849fa8a1fb261d068__c4fc77ed2a9ebb4c055a69464e25ae2d48756a9b53824cffbf7ca2ff758e06f8,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon storage,403,417,"The GPI results should reflect the principle of technological neutrality, in which, in addition to renewable energy sources, the possibility of using all available technologies is recognized, including natural gas as a transition fuel, low-emission solutions in the use of fossil fuels, nuclear, hydrogen and hydropower, capture and carbon storage.",1.0,explorer,
