document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1740.0,fe494ad8f53c9c74e86489220d060e86__a0638db0244b6ce3d48a62aa92cec4d1caf2e6313cfb04f6f9eb3c015a87c46f,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,70,92,"This project has been devised and convened by experts in the field of Carbon Dioxide Removal (CDR), who are authors of Intergovernmental Panel on Climate Change (IPCC) reports and currently lead major CDR research projects:",1.0,explorer
UNFCCC.non-party.1740.0,490612a066f348a9b24decae261b6fa4__27107474300bcde4533b9edbf9135fa3c53718e218c5a178862573bcb6fa6f34,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,13,35,The State of Carbon Dioxide Removal,1.0,explorer
UNFCCC.non-party.1740.0,a4e9dae4b4613e44c54cb2160e6f9335__737378818ae182dad9503572c2ace7c6b59e225e48a5eccb1dd57580892442df,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,363,385,The State of Carbon Dioxide Removal - 1st Edition.,1.0,explorer
UNFCCC.non-party.1740.0,490612a066f348a9b24decae261b6fa4__27107474300bcde4533b9edbf9135fa3c53718e218c5a178862573bcb6fa6f34,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,13,35,The State of Carbon Dioxide Removal,1.0,explorer
UNFCCC.non-party.1740.0,490612a066f348a9b24decae261b6fa4__27107474300bcde4533b9edbf9135fa3c53718e218c5a178862573bcb6fa6f34,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,13,35,The State of Carbon Dioxide Removal,1.0,explorer
UNFCCC.non-party.1740.0,490612a066f348a9b24decae261b6fa4__27107474300bcde4533b9edbf9135fa3c53718e218c5a178862573bcb6fa6f34,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,13,35,The State of Carbon Dioxide Removal,1.0,explorer
UNFCCC.non-party.1740.0,db44746987e6d77646071ccdb075a662__8662c63b37380a0decda83f72b69fea617b8c8941600f6de914a4823e5f5fe74,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon dioxide removal,568,590,"At the latest by then, carbon dioxide removal (CDR) and the sustainable management of global carbon cycles will have become the major focus of climate action worldwide.",1.0,explorer
UNFCCC.non-party.1740.0,490612a066f348a9b24decae261b6fa4__27107474300bcde4533b9edbf9135fa3c53718e218c5a178862573bcb6fa6f34,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,13,35,The State of Carbon Dioxide Removal,1.0,explorer
UNFCCC.non-party.1740.0,490612a066f348a9b24decae261b6fa4__27107474300bcde4533b9edbf9135fa3c53718e218c5a178862573bcb6fa6f34,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,13,35,The State of Carbon Dioxide Removal,1.0,explorer
UNFCCC.non-party.1740.0,881ae36e73f0583ee6ca5d6f5d984d46__0381d8e04d8a3cb246248212adc4c7117eb87a2b45d2054388ee57f1830e2bb8,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon dioxide removal,24,46,"Total current amount of carbon dioxide removal, split into conventional and novel methods (GtCO2/yr)",1.0,explorer
UNFCCC.non-party.1740.0,4645089a077ada698b37c580355879d3__c80e3beb4c2f0bef803eb1aaea2ea79cee02a6f35fc5c6773b55896c659ed2ef,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon dioxide removal,36,58,Only a tiny fraction of all current carbon dioxide removal results from novel methods,1.0,explorer
UNFCCC.non-party.1740.0,aecc0a57e0dbbf3e17aea3a387eec2e5__35a42523dd351aafb43a65b1fa13627f601b8da4e738c30a64b157e3f6ac4917,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,BECCS,176,181,"-2
-1.8
-1.6
Almost all current carbon
dioxide removal, 2 GtCO2/yr,
comes from conventional
management of land and a tiny
fraction, 0.002 GtCO2/yr,
results from novel methods
■BECCS
Biochar
Other novel CDR
-0.003
-1.4
-1.2
-0.002
-0.8
-0.6
-0.001
-0.4
-0.2
",1.0,explorer
UNFCCC.non-party.1740.0,e89eb9e4e2669b12213aa2393775db5f__e6247e119a51a728094820e4592ba47e4c6fcd6b9e5ef040b84e331c17c5ead3,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,BECCS,218,223,"Examples include reforestation, biochar,
Bioenergy with Carbon Capture and Storage (BECCS) and Direct Air Carbon Capture and
Storage (DACCS).",1.0,explorer
UNFCCC.non-party.1740.0,e89eb9e4e2669b12213aa2393775db5f__e6247e119a51a728094820e4592ba47e4c6fcd6b9e5ef040b84e331c17c5ead3,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Capture,190,204,"Examples include reforestation, biochar,
Bioenergy with Carbon Capture and Storage (BECCS) and Direct Air Carbon Capture and
Storage (DACCS).",1.0,explorer
UNFCCC.non-party.1740.0,e89eb9e4e2669b12213aa2393775db5f__e6247e119a51a728094820e4592ba47e4c6fcd6b9e5ef040b84e331c17c5ead3,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Capture,240,254,"Examples include reforestation, biochar,
Bioenergy with Carbon Capture and Storage (BECCS) and Direct Air Carbon Capture and
Storage (DACCS).",1.0,explorer
UNFCCC.non-party.1740.0,c257d5f40e268c041e4e2019365f514b__d62dc430d0c5b05034dbc2c1c310aa8a1401e2a9ffa81267e6b76705fc84b0d1,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,11,33,"Scaling up Carbon Dioxide Removal (CDR) is an urgent priority, as are efforts to rapidly
reduce emissions, if we are to meet the temperature goal of the Paris Agreement.",1.0,explorer
UNFCCC.non-party.1740.0,490612a066f348a9b24decae261b6fa4__27107474300bcde4533b9edbf9135fa3c53718e218c5a178862573bcb6fa6f34,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,13,35,The State of Carbon Dioxide Removal,1.0,explorer
UNFCCC.non-party.1740.0,4259c96b911c2a417bcbdd68c25b4c83__ebdb2ac0c55c9d4a76fea904e9c553c27a51af0b6546e41e26201cc07ed7b812,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon dioxide removal,0,22,"Carbon dioxide removal (GtCO2/yr), proposed levels compared to three Paris-relevant scenarios in 2030 and 2050",1.0,explorer
UNFCCC.non-party.1740.0,30307e0148a448ee84cc31d09c6be78b__8a5f490d214538df30d07e5bdc2fb58687a2883630ea0d7b1d6d891ee518d146,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon dioxide removal,239,261,"GICOa/yr 2020
0
-4
-6
-8
-10
-12
-14-
Virtually all current
carbon dioxide
removal, 2 GtCO₂/y.
comes from
conventional
management of land
and only a tiny
fraction results from
novel methods
2030
Almost all Paris-relevant scenarios
feature carbon dioxide removal, but
we can limit our future reliance on it
by reducing emissions faster
2040
2050
Focus on Demand Reduction
48% greenhouse gas reduction
by 2030
Focus on Renewables
31% greenhouse gas reduction
by 2030
Focus on Carbon Removals
33% greenhouse gas reduction
by 2030",1.0,explorer
UNFCCC.non-party.1740.0,28f877aff8ab9c249c1382663a9cef5d__e0d00a2da2962765b967ac197a472d7a2e72bc66e0a55b70927dde7a65fc3f7c,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon dioxide removal,0,22,"Carbon dioxide removal (GtCO2/yr), in 2020 and in three Paris-consistent scenarios",1.0,explorer
UNFCCC.non-party.1740.0,83cb88332c3d16c9a6b0252c1254d98c__481dba3064e79e56e3f33fd855f160d04a01c596fc56b62787476d63c83999d0,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon removals,116,131,"countries' pledges, 2.6
focus on
renewables
5.4
2030
focus on
focus on
carbon removals demand reduction
3.5
3.9
יווי
Closing the gap requires
scaling up carbon dioxide
focus on
renewables
removal, particularly rapidly
in the next decade
2050
focus on
focus on
carbon removals demand reduction
7.6
9.8
4.7
long-term strategies, 29",1.0,explorer
UNFCCC.non-party.1740.0,83cb88332c3d16c9a6b0252c1254d98c__481dba3064e79e56e3f33fd855f160d04a01c596fc56b62787476d63c83999d0,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon removals,305,320,"countries' pledges, 2.6
focus on
renewables
5.4
2030
focus on
focus on
carbon removals demand reduction
3.5
3.9
יווי
Closing the gap requires
scaling up carbon dioxide
focus on
renewables
removal, particularly rapidly
in the next decade
2050
focus on
focus on
carbon removals demand reduction
7.6
9.8
4.7
long-term strategies, 29",1.0,explorer
UNFCCC.non-party.1740.0,12e35b005600f1194a5067f6e8bcd167__153ea1087fc2c6716b2007275240c701be4900110889e898fa12412b5c9e6d58,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon dioxide removal,44,66,There is a I gap between proposed levels of carbon dioxide removal and what is needed to meet the,1.0,explorer
UNFCCC.non-party.1740.0,c77a627e72b67219c505274cabf3c7af__e5363e098bf80070df700c2836a3b7a96483c9eeb9781ead6a6aa683a54e78a5,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon dioxide removal,0,22,"Carbon dioxide removal is a feature of all scenarios that meet the Paris temperature goal, in addition to
reducing emissions",1.0,explorer
UNFCCC.non-party.1740.0,490612a066f348a9b24decae261b6fa4__27107474300bcde4533b9edbf9135fa3c53718e218c5a178862573bcb6fa6f34,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,13,35,The State of Carbon Dioxide Removal,1.0,explorer
UNFCCC.non-party.1740.0,4e94f4fa28138352163b2bcd591cf2c3__b99ae22a0e0a7bd52531588053ff39a8f258f9844898d64f6ef8f52df4145378,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon dioxide removal,9,31,"B. Novel carbon dioxide removal (GtCO2/yr), proposed levels compared to three Paris-relevant scenarios in 2030 and 2050",1.0,explorer
UNFCCC.non-party.1740.0,a9378e14ed3261670bb9de279a01ba6c__2cd3d23b69118a4a6e9ebed12a5248a15f6a1205eb8efde70ba91b7661bb4487,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon dioxide removal,16,38,"A. Conventional carbon dioxide removal (GtCO2/yr), proposed levels compared to three Paris-relevant scenarios in 2030 and 2050",1.0,explorer
UNFCCC.non-party.1740.0,ac23cb8e3170e02c02efc45331bfbf2c__a9581932b1a13112f626cc35d24cc9e5ba1bccf16955ebbf96c20d5052567ac8,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon removals,100,115,"level in 2020,-2
GtCO₂/yr
19
++
-5
countries' pledges, 2.6
focus on
renewables
-5.3
- 2030
focus on
carbon removals
focus on
demand reduction
-3.5
Closing the gap between proposed
levels of carbon dioxide removals
and what is needed to meet the
Paris temperature goal requires
scaling up conventional carbon
dioxide removal on land
focus on
renewables
-6.7
2050
focus on
carbon removals
-6.3
focus on
demand reduction
-4.7
long-term strategies, 23",1.0,explorer
UNFCCC.non-party.1740.0,ac23cb8e3170e02c02efc45331bfbf2c__a9581932b1a13112f626cc35d24cc9e5ba1bccf16955ebbf96c20d5052567ac8,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon removals,371,386,"level in 2020,-2
GtCO₂/yr
19
++
-5
countries' pledges, 2.6
focus on
renewables
-5.3
- 2030
focus on
carbon removals
focus on
demand reduction
-3.5
Closing the gap between proposed
levels of carbon dioxide removals
and what is needed to meet the
Paris temperature goal requires
scaling up conventional carbon
dioxide removal on land
focus on
renewables
-6.7
2050
focus on
carbon removals
-6.3
focus on
demand reduction
-4.7
long-term strategies, 23",1.0,explorer
UNFCCC.non-party.1740.0,b5b175a275d81f7afd55941a9bd770c9__f6020aa4b6dc48dde81381c99e70e13a615a373c93d1029154e00c508c44309f,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon dioxide removal,42,64,"There is a gap between proposed levels of carbon dioxide removal and what is needed to meet the
I",1.0,explorer
UNFCCC.non-party.1740.0,53bf44e109f45af8a55d3b42aeb4b512__018a5fcaf41f1ded5df739caa975c170a8d3879cfb53f395216e7961100e62cf,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,BECCS,88,93,"Virtually all scenarios that limit warming to 1.5°C or 2°C require ""novel"" CDR, such as BECCS,
biochar, DACCS, and enhanced rock weathering.",1.0,explorer
UNFCCC.non-party.1740.0,4a02746698e2367210c5b005e96e6c2f__bd2854b1da3c7b4f72dbd4fd156e7f23d82d769ee46755f20dc48d9c58f03a40,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon removals,331,346,"level in 2020,0
GICOa/yr
-4
-5
-7
countries' pledges, O
focus on
renewables
-0.1
2030
focus on
carbon removals
-0.9
focus on
demand reduction
0
A few scenarios involve no novel
carbon dioxide removal, but
require even more aggressive
emissions reductions which we
are not on track to achieve
focus on
renewables
-0.9
2050
focus on
carbon removals
-3.4
focus on
demand reduction
0",1.0,explorer
UNFCCC.non-party.1740.0,4a02746698e2367210c5b005e96e6c2f__bd2854b1da3c7b4f72dbd4fd156e7f23d82d769ee46755f20dc48d9c58f03a40,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon removals,95,110,"level in 2020,0
GICOa/yr
-4
-5
-7
countries' pledges, O
focus on
renewables
-0.1
2030
focus on
carbon removals
-0.9
focus on
demand reduction
0
A few scenarios involve no novel
carbon dioxide removal, but
require even more aggressive
emissions reductions which we
are not on track to achieve
focus on
renewables
-0.9
2050
focus on
carbon removals
-3.4
focus on
demand reduction
0",1.0,explorer
UNFCCC.non-party.1740.0,4a02746698e2367210c5b005e96e6c2f__bd2854b1da3c7b4f72dbd4fd156e7f23d82d769ee46755f20dc48d9c58f03a40,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon dioxide removal,177,199,"level in 2020,0
GICOa/yr
-4
-5
-7
countries' pledges, O
focus on
renewables
-0.1
2030
focus on
carbon removals
-0.9
focus on
demand reduction
0
A few scenarios involve no novel
carbon dioxide removal, but
require even more aggressive
emissions reductions which we
are not on track to achieve
focus on
renewables
-0.9
2050
focus on
carbon removals
-3.4
focus on
demand reduction
0",1.0,explorer
UNFCCC.non-party.1740.0,490612a066f348a9b24decae261b6fa4__27107474300bcde4533b9edbf9135fa3c53718e218c5a178862573bcb6fa6f34,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,13,35,The State of Carbon Dioxide Removal,1.0,explorer
UNFCCC.non-party.1740.0,8ef9c5a2ad34d0394e9f767b934e1954__bc7f242e7aeb6c64dc5a0f79ef2406cd7a9c21b1d439d0aee2d531065d93fd3c,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,BECCS,561,566,"Discussion of CDR on the social media
platform Twitter is growing fast, with a trend towards more positive sentiment for all CDR
methods except BECCS.",1.0,explorer
