document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1789.0,840ff0fcb2b9112daae4d7cc9b1113bc__b6cb8499b2404c6b25fcc2e7cdd7b4afb86c54bf2d967748d5b9d68c3172bdcd,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon sequestration,697,717,"It has noted the vital role that coastal blue carbon ecosystems, including mangroves, tidal marshes and seagrasses, play in climate adaptation and mitigation through carbon sequestration, and in increasing the resilience of coastal ecosystems to ocean acidification, and encouraging States and relevant international institutions and organizations to work collaboratively to protect and restore coastal blue carbon ecosystems.",1.0,explorer
UNFCCC.party.1771.0,be73cd81c505dd356531706ecc048558__8415a0564ec31b0024659ec0464e3d958038fe7ec6fb125d7c1f1b24455f28e5,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon capture,135,149,"- The opportunity to scale up finance for all climate critical technologies, including energy efficiency technologies, renewables, and carbon capture utilization and storage and direct air capture, taking into account the needs and priorities of developing countries;",1.0,explorer
UNFCCC.non-party.1800.0,7b293515f42bb12cc6d2381a61c306e5__ff52496cf705416320209a40be4da6b8150f07dc3db7692c478c3cf827b3201d,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCS,131,134,"Stressing that reliance on ineffective, dangerous or unproven geoengineering technologies, such as carbon capture and storage (CCS) and other large-scale carbon dioxide removals (CDR) mechanisms, and solar radiation management (SDR), should be avoided to avoid directly or indirectly prolonging dependence on fossil fuels, as these are unproven, or ineffective, rely on offsets, or come with high human rights and environmental risks which means their deployment would breach international human rights and environmental law3.",1.0,explorer
UNFCCC.non-party.1800.0,7b293515f42bb12cc6d2381a61c306e5__ff52496cf705416320209a40be4da6b8150f07dc3db7692c478c3cf827b3201d,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon capture,103,117,"Stressing that reliance on ineffective, dangerous or unproven geoengineering technologies, such as carbon capture and storage (CCS) and other large-scale carbon dioxide removals (CDR) mechanisms, and solar radiation management (SDR), should be avoided to avoid directly or indirectly prolonging dependence on fossil fuels, as these are unproven, or ineffective, rely on offsets, or come with high human rights and environmental risks which means their deployment would breach international human rights and environmental law3.",1.0,explorer
UNFCCC.non-party.280.0,6f47cb9eddeed855f1e39d55a80f7ec7__c9e4c030e50ade31ae294e3fab1abbebf98427f656dc0fcb276212caea81b66a,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,removals of CO2,61,76,23 Net negative CO2 emissions are reached when anthropogenic removals of CO2 exceed anthropogenic emissions (Glossary).,1.0,explorer
UNFCCC.non-party.280.0,4cd37783302776124519821e2f216440__e3f8a886dbf8ec4918f1c81083cd2ca7fae5bde29adc22e2eea95ab8704d6d84,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CO2 removals,101,113,42 The condition in which anthropogenic carbon dioxide (CO2) emissions are balanced by anthropogenic CO2 removals over a specified period (Glossary).,1.0,explorer
UNFCCC.non-party.280.0,ec3a8d32231b1ee01bdf514b806d341e__4e783f5f9d4c03aed29d154623904e4f0ce2a0a9fb11a441800abead0fbc8d93,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CO2 removal,20,31,D.1.4 Anthropogenic CO2 removal (CDR) has the potential to remove CO2 from the atmosphere and durably store it in reservoirs (high confidence).,1.0,explorer
UNFCCC.non-party.280.0,f7e972c4160559aa6dc118c5ca9a3f6c__00b87bf30ac627c722997f096b5f79eb188cbbe77f7d6312b5c8acc37582c565,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CO2 removals,198,210,Anthropogenic CO2 removals and emissions are partially,1.0,explorer
UNFCCC.non-party.280.0,f7e972c4160559aa6dc118c5ca9a3f6c__00b87bf30ac627c722997f096b5f79eb188cbbe77f7d6312b5c8acc37582c565,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CO2 removal,20,31,D.1.5 Anthropogenic CO2 removal (CDR) leading to global net negative emissions would lower the atmospheric CO2 concentration and reverse surface ocean acidification (high confidence).,1.0,explorer
UNFCCC.non-party.280.0,90291ccb901bb76d9c1d48aff5014d9d__70432c5af74faef907d958daa0cfe926c866ca6924a423a51cf0783e5df19e3d,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,removals of CO2,106,121,"D.1.8 Achieving global net zero CO2 emissions, with anthropogenic CO2 emissions balanced by anthropogenic removals of CO2, is a requirement for stabilizing CO2-induced global surface temperature increase.",1.0,explorer
UNFCCC.non-party.280.0,37d03b11a80898b14899476664e725d4__a86c42340c1f1f15d92daf13d7ec617d8ce1b12864522f97be77f743b4cab0b3,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CO2 removals,316,328,"The atmospheric CO2 decrease from anthropogenic CO2 removals could be up to 10% less than the atmospheric CO2 increase from an equal amount of CO2 emissions, depending on the total amount of CDR (medium confidence).",1.0,explorer
UNFCCC.non-party.280.0,c09b6bec2267a168d2f3ad9ab83d76a5__097b0d797f5ce7e848bdc60abfaa36db8d2c5bf164a2c6ff90feb64753192bcc,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon dioxide removal,480,502,"The AR5, SR1.5 and SRCCL assessed carbon dioxide removal options and scenarios.",1.0,explorer
UNFCCC.non-party.280.0,c09b6bec2267a168d2f3ad9ab83d76a5__097b0d797f5ce7e848bdc60abfaa36db8d2c5bf164a2c6ff90feb64753192bcc,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CO2 removals,705,717,"The AR6 finds that the carbon cycle response is asymmetric for pulse emissions or removals, which means that CO2 emissions would be more effective at raising atmospheric CO2 than CO2 removals are at lowering atmospheric CO2.",1.0,explorer
UNFCCC.non-party.280.0,110590ae021a87d3d4289e175e56c2f9__e0a99ed605c03c1e5e3c2f2c04ff6a77b0f63864b3a98ffd214094ddfdb4ee69,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon storage,356,370,"Terrestrial carbon storage decreased markedly during the Last Glacial Maximum by 300-600 PgC, possibly by 850 PgC when accounting for interactions with the lithosphere and ocean sediments, a larger reduction than previously estimated, owing to a colder and drier climate.",1.0,explorer
UNFCCC.non-party.280.0,110590ae021a87d3d4289e175e56c2f9__e0a99ed605c03c1e5e3c2f2c04ff6a77b0f63864b3a98ffd214094ddfdb4ee69,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,removal of carbon,755,772,"At the same time, the storage of remineralized carbon in the ocean interior increased by as much as 750-950 PgC, sufficient to balance the removal of carbon from the atmosphere (200 PgC) and terrestrial biosphere reservoirs combined (high confidence).",1.0,explorer
UNFCCC.non-party.280.0,82afe720b4b33e7d873ddfa27f65fa7c__b026f27f1a8c790ffaa56c66f711cce35c1c8ee01c29aea32282be33f1c3d941,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon storage,277,291,"The figure shows changes in carbon storage in response to elevated CO2 (a, b) and the response to climate warming (c, d).",1.0,explorer
UNFCCC.non-party.280.0,240866b6e77d926c0246c8979d5a8532__9164c4254e681a8eb1ab8c235bfb0fa49629e4c35cc950ed6ad7927f840027b1,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon dioxide removal,649,671,The response of the natural aspects of the carbon cycle to carbon dioxide removal is further developed in Section TS.3.3.2.,1.0,explorer
UNFCCC.non-party.280.0,0dcff36375c85ac4bee127c2ec799963__5679a0890d4536f416816a5b5a9537dd5d4559fe6529913755a09e3cd4a85728,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon dioxide removal,326,348,"It assesses advances since AR5 and SR1.5 in the estimation of remaining carbon budgets, the Earth system response to carbon dioxide removal, and the quantification of metrics that allow comparisons of the relative effects of different forcing agents.",1.0,explorer
UNFCCC.non-party.280.0,5f70bd9f860829e2a4bd27950bbf936e__1064b65085d81dbdec5f7f2516e18d629d0842927b8940b1595cb667dcaa6720,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,9,31,TS.3.3.2 Carbon Dioxide Removal,1.0,explorer
UNFCCC.non-party.280.0,0a51b9bf9a8bccd8521730aeffa3cc70__fbd75af1f3736e2b54b9a7e7093c4d85a886c24f5626ab71c0bc4d4dac2c7c3e,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon dioxide removal,11,33,Deliberate carbon dioxide removal (CDR) from the atmosphere has the potential to compensate for residual CO2 emissions to reach net zero CO2 emissions or to generate net negative CO2 emissions.,1.0,explorer
