document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1750.0,ee5a30ab7254ca1aa94a9b42fe6bd710__7264bdf2f3f31fcd5cc2c8e15a994c22eff214c8521d092a41a37d853cb9ed19,WASTE_AND_RECYCLING_TECHNOLOGIES,RECYCLING,recycle,7,14,Please recycle,1.0,explorer
UNFCCC.non-party.1750.0,b2ea5f14a1405242f7ec7bc895261e0d__11d37c3ebf5a0b2727d795e99125fc40c716ed1896dec495d06be182a0c4a3bc,AGRICULTURE_AND_LAND_MANAGEMENT_TECHNOLOGIES,MANURE_MANAGEMENT,manure management,216,233,"For example, according to NIR table 5-4, the CH4 EF for manure management of swine is 14.1, which is the weighted average of the EFs by average annual temperature for the Oceania region (2006 IPCC Guidelines, vol. 4, chap.",1.0,explorer
UNFCCC.non-party.1750.0,b2ea5f14a1405242f7ec7bc895261e0d__11d37c3ebf5a0b2727d795e99125fc40c716ed1896dec495d06be182a0c4a3bc,AGRICULTURE_AND_LAND_MANAGEMENT_TECHNOLOGIES,MANURE_MANAGEMENT,manure management,853,870,"As such, when calculating the CH4 EF for manure management of swine, it was assumed that 90 per cent of the total swine population was market swine, while the remaining 10 per cent was breeding swine.",1.0,explorer
UNFCCC.non-party.1750.0,b2ea5f14a1405242f7ec7bc895261e0d__11d37c3ebf5a0b2727d795e99125fc40c716ed1896dec495d06be182a0c4a3bc,AGRICULTURE_AND_LAND_MANAGEMENT_TECHNOLOGIES,MANURE_MANAGEMENT,manure management,1436,1453,"Further, it was not clear to the TTE which years of livestock population data were used for each species in calculating the weighted averaged CH4 EFs for manure management.",1.0,explorer
UNFCCC.non-party.1750.0,b2ea5f14a1405242f7ec7bc895261e0d__11d37c3ebf5a0b2727d795e99125fc40c716ed1896dec495d06be182a0c4a3bc,AGRICULTURE_AND_LAND_MANAGEMENT_TECHNOLOGIES,MANURE_MANAGEMENT,manure management,1902,1919,"The Party also acknowledged that some errors had occurred in the selection of the correct IPCC default EFs: for example, instead of using 2.56 kg CH4/head as the CH4 EF for manure management of horses (NIR table 5-4), the value used should be 2.19 kg CH4/head (2006 IPCC Guidelines, vol. 4, chap.",1.0,explorer
UNFCCC.non-party.1750.0,798b4dc31c26b70829062c7c3856fb79__c7d8acf3147f7b7e174ecd13cad326cc0dcb19421ddb98542a15dc835ff44cf7,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,storage of CO2,203,217,"During the technical analysis, Papua New Guinea clarified that the transport and storage of CO2 does not occur in the country, therefore CO2 emissions from this source will be reported as “NO” in its next submission.",1.0,explorer
UNFCCC.non-party.1750.0,7347950a01bf0a69f471dad9e32a2757__ffe99e69ff58df94225ba3410ed4ee60bee834c477207f71e17bf1ce44c4c159,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,removals of CO2,157,172,"This included GHG emissions and removals of CO2, CH4 and N2O for most relevant sources and sinks.",1.0,explorer
UNFCCC.party.1761.0,b8cfe223ef90140fde2076f605fcc495__264b79d6a13bdb2b4183e6218f8ededbda03c940559837823c63a09ee6adc399,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon removals,59,74,Solomon Islands BAU net emissions with inclusion of forest carbon removals ...........23,1.0,explorer
UNFCCC.party.1761.0,17044084c01459dd41595dd07d12d71c__2a753d199da085b52f0cb08b1a817457d60d04a9feb360aa6fc4643f7b96d381,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,removal of carbon dioxide,239,264,The removal of carbon dioxide from the atmosphere by these forests currently exceeds the emissions generated by human activity.,1.0,explorer
UNFCCC.party.1761.0,17044084c01459dd41595dd07d12d71c__2a753d199da085b52f0cb08b1a817457d60d04a9feb360aa6fc4643f7b96d381,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,removal of carbon,239,256,The removal of carbon dioxide from the atmosphere by these forests currently exceeds the emissions generated by human activity.,1.0,explorer
