md5sum,document_name,theme,type,author,author_type,date,language,link,pdf_link,validation_status,data_error_type,party,translation,version,status,source,topics
7159d5e03063be2e77138fd2a8499bcf,United States of America. Biennial report (BR). BR 2.,Emission reduction targets,Biennial reports (BR),United States of America,,,English,/documents/198949,https://unfccc.int/sites/default/files/resource/second_biennial_report_methodologies_for_quantified_policies_and_measures.pdf,not validated,,United States of America,,,,UNFCCC Information Portal,Emission reduction targets
072bb9e1cc693272b7e0c787d943dda3,"Biennial in-session workshop on information to be provided by Parties in accordance with Article 9, paragraph 5, of the Paris Agreement. Summary report by the secretariat",Climate finance,Summary reports,UNFCCC. Conference of the Parties serving as the meeting of the Parties to the Paris Agreement (CMA),,2021-09-10T12:00:00Z,English,/documents/306727,https://unfccc.int/sites/default/files/resource/cma2021_05E.pdf,not validated,,,,,,UNFCCC Information Portal,Climate finance
8d5d20f1335ff37244999ccb18825b6e,Gambia. National communication (NC). NC 3.,"Policies and measures, National communications (NC), Mitigation",National communications (NC),Gambia,,2020-07-27T12:00:00Z,English,/documents/231735,https://unfccc.int/sites/default/files/resource/The%20Gambia%20Third%20National%20Communication.pdf,not validated,,Gambia,,,,UNFCCC Information Portal,"Policies and measures,National communications NC,Mitigation"
e47e24113c01ba45987a1ba69894dad7,Technical analysis of the third biennial update report of Viet Nam submitted on 16 April 2021. Summary report by the team of technical experts,"Biennial update reports (BUR), National communications (NC), International consultations and analysis (ICA), Mitigation, Means of implementation",Technical analysis summary report (TASR),UNFCCC. Secretariat,,2022-08-22T12:00:00Z,English only,/documents/611238,https://unfccc.int/sites/default/files/resource/tast2021_VNM.pdf,not validated,,Viet Nam,,,,UNFCCC Information Portal,"Biennial update reports BUR,National communications NC,International consultations and analysis ICA,Mitigation,Means of implementation"
747314abd32a96da1c1bcc51ec0b1088,Technical analysis of the first biennial update report of Benin submitted on 24 October 2019. Summary report by the team of technical experts,"Biennial update reports (BUR), National communications (NC), International consultations and analysis (ICA), Means of implementation, Mitigation",Technical analysis summary report (TASR),UNFCCC. Secretariat,,2020-11-12T12:00:00Z,English only,/documents/266341,https://unfccc.int/sites/default/files/resource/tasr2020_BEN.pdf,not validated,,Benin,,,,UNFCCC Information Portal,"Biennial update reports BUR,National communications NC,International consultations and analysis ICA,Means of implementation,Mitigation"
07aebd0ab7ce71a6b1e574a94ec73256,Nationally determined contributions under the Paris Agreement. Revised note by the secretariat,Nationally determined contributions (NDCs),Pre-session documents,UNFCCC. Secretariat,,2021-10-25T12:00:00Z,English,/documents/307628,https://unfccc.int/sites/default/files/resource/cma2021_08r01_E.pdf,not validated,,,,,,UNFCCC Information Portal,Nationally determined contributions NDCs
80b91fcf49b0e144cdd9b9223311d9b3,Poland. Biennial Reports (BR). BR 3. National Communication (NC). NC 7.,"Policies and measures, National communications (NC), Biennial reports (BR), Adaptation, Mitigation","National communications (NC), Biennial reports (BR)",Poland,,2017-12-29T12:00:00Z,English,/documents/198284,https://unfccc.int/sites/default/files/resource/8193245_Poland-BR3-NC7-1-NC7-BR3%20Poland.pdf,not validated,,Poland,,,,UNFCCC Information Portal,"Policies and measures,National communications NC,Biennial reports BR,Adaptation,Mitigation"
cb1988f390f812266e814569c93fd13c,Japan. 2021 National Inventory Report (NIR),"GHG inventories, Mitigation",National inventory reports (NIR),Japan. 2021 National Inventory Report (NIR),,2021-04-13T12:00:00Z,English,/documents/271503,https://unfccc.int/sites/default/files/resource/jpn-2021-nir-13apr21.zip,not validated,,Japan,,,,UNFCCC Information Portal,"GHG inventories,Mitigation"
25432c497696581c22fb9bc92ad9f258,Identifying and accounting for ocean specific topics in the Global Stocktake,"Global stocktake, Adaptation, Mitigation, Climate finance, Science and research",Submissions to the Global Stocktake,"Ocean and Climate Platform, International Union for Conservation of Nature (IUCN), Conservation International (CI), World Wide Fund for Nature (WWF), Plymouth Marine Laboratory (PML), Nature Conservancy (TNC)",,2022-04-01T12:00:00Z,English,/documents/461577,https://unfccc.int/sites/default/files/resource/202202281809---GST%20ocean%20submission_final.pdf,not validated,,,,,,UNFCCC Information Portal,"Global stocktake,Adaptation,Mitigation,Climate finance,Science and research"
de54d0982baf07439b4a6bff0a495cd8,Philippines. National Communication (NC). NC 2.,"National communications (NC), Mitigation",National communications (NC),Philippines,,,English,/documents/139241,https://unfccc.int/sites/default/files/resource/phlnc2.pdf,not validated,,Philippines,,,,UNFCCC Information Portal,"National communications NC,Mitigation"
