document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1740.0,85272a51d621472d34af3d1b27c11619__bdebd79868361763d5a89e5ff01cfdcb63a52c082357b83ecfc69271129b57da,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,indigenous,87,97,"Incorporating scientific literature in other languages, grey literature, and local and indigenous knowledge.",1.0,explorer
UNFCCC.non-party.1740.0,200063d736615fe246d703570f5be6d5__27182620f7cda64e79793c91bd345f983b08e3745cfeda945770abe92d8b68f0,LOCAL_AND_RURAL_COMMUNITIES,LOCAL_COMMUNITIES,local communities,95,112,"• Locating and reviewing research on public perceptions from specific stakeholder groups (e.g. local communities affected by deployment, indigenous groups facing land conflicts).",1.0,explorer
UNFCCC.non-party.1740.0,200063d736615fe246d703570f5be6d5__27182620f7cda64e79793c91bd345f983b08e3745cfeda945770abe92d8b68f0,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,indigenous,137,147,"• Locating and reviewing research on public perceptions from specific stakeholder groups (e.g. local communities affected by deployment, indigenous groups facing land conflicts).",1.0,explorer
UNFCCC.party.1736.0,0a7f27ca15861891726fe208b701ad2e__2507914c5181bde8e44214d93164252be1bb5bbba2c9bc4ac076feaebde29e56,WOMEN_AND_GIRLS,WOMEN,women,712,717,"Over the past thirty years, the participation of women in politics has increased significantly and their share of seats in Parliament has increased from 15% to 47,6%.",1.0,explorer
UNFCCC.party.1736.0,7b11382d5ac4fc06b481091d9bbe0279__408b3052b00059fe561e1f784ef8dec4da1aec14e2d641b9bb32d5045a6f7d91,LOCAL_AND_RURAL_COMMUNITIES,LOCAL_COMMUNITIES,local communities,180,197,"In line with best practices in development cooperation and OECD-DAC guidelines, Iceland's development cooperation in bilateral partner countries is based on close cooperation with local communities and their needs and is based on detailed needs assessment.",1.0,explorer
UNFCCC.party.1736.0,221ee1a198fc931556ba7ad614728888__1c81d3f1fa7bd5fea59ee41e8fd1678cdc303b73844791a488c3b86e0d5c1a20,WOMEN_AND_GIRLS,GENDER,gender,253,259,"The GRO Training Programs provide support to climate change adaptation and mitigation in LDCS, gender mainstreaming, capacity building through the four programs: GRÓ Geothermal Training Program, the GRO Fisheries Training Program, the GRÓ Land Restoration Training Program, and the GRÓ Gender Equality Studies and Training Program.",1.0,explorer
UNFCCC.party.1736.0,221ee1a198fc931556ba7ad614728888__1c81d3f1fa7bd5fea59ee41e8fd1678cdc303b73844791a488c3b86e0d5c1a20,WOMEN_AND_GIRLS,GENDER,Gender,444,450,"The GRO Training Programs provide support to climate change adaptation and mitigation in LDCS, gender mainstreaming, capacity building through the four programs: GRÓ Geothermal Training Program, the GRO Fisheries Training Program, the GRÓ Land Restoration Training Program, and the GRÓ Gender Equality Studies and Training Program.",1.0,explorer
UNFCCC.party.1736.0,0628ac906ae657132e54155071cb91c8__4ae779089c24f1549ef3245882a5d8689bd5f6c20509666d9fc5f447611a33a5,CHILDREN,CHILDREN,children,1083,1091,This involves training in democratic working methods and that children and youth are trained to be interested in and want to take part in society.,1.0,explorer
UNFCCC.party.1736.0,0628ac906ae657132e54155071cb91c8__4ae779089c24f1549ef3245882a5d8689bd5f6c20509666d9fc5f447611a33a5,CHILDREN,CHILDREN,children,809,817,Education for sustainability further encompasses that in their studies children and youth come to grips with diverse problems and points of controversy.,1.0,explorer
UNFCCC.party.1736.0,0628ac906ae657132e54155071cb91c8__4ae779089c24f1549ef3245882a5d8689bd5f6c20509666d9fc5f447611a33a5,CHILDREN,FUTURE_GENERATIONS,future generations,509,527,"Sustainability includes respect for the environment, sense of responsibility, health, democratic working methods, and justice, not only at present time but also for future generations.",1.0,explorer
