document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1881.0,d829f040bcc014e33ba461b82369d639__a23fcdd4b487004d8faf40bf0dd26492fba80e01c7d5d9c0ba190cd0988a9357,MIGRANTS,MIGRANTS,migrants,347,355,"Acknowledging that climate change is a common concern of humankind and that Parties should, when taking action to address climate change, respect, promote and consider their respective obligations on human rights, the right to a clean, healthy and sustainable environment, the right to health, the rights of Indigenous Peoples, local communities, migrants, children, persons with disabilities and people in vulnerable situations and the right to development, as well as gender equality, empowerment of women and intergenerational equity,",1.0,explorer,
UNFCCC.non-party.1881.0,d829f040bcc014e33ba461b82369d639__a23fcdd4b487004d8faf40bf0dd26492fba80e01c7d5d9c0ba190cd0988a9357,CHILDREN,CHILDREN,children,357,365,"Acknowledging that climate change is a common concern of humankind and that Parties should, when taking action to address climate change, respect, promote and consider their respective obligations on human rights, the right to a clean, healthy and sustainable environment, the right to health, the rights of Indigenous Peoples, local communities, migrants, children, persons with disabilities and people in vulnerable situations and the right to development, as well as gender equality, empowerment of women and intergenerational equity,",1.0,explorer,
UNFCCC.non-party.1881.0,d829f040bcc014e33ba461b82369d639__a23fcdd4b487004d8faf40bf0dd26492fba80e01c7d5d9c0ba190cd0988a9357,WOMEN_AND_GIRLS,GENDER,gender,470,476,"Acknowledging that climate change is a common concern of humankind and that Parties should, when taking action to address climate change, respect, promote and consider their respective obligations on human rights, the right to a clean, healthy and sustainable environment, the right to health, the rights of Indigenous Peoples, local communities, migrants, children, persons with disabilities and people in vulnerable situations and the right to development, as well as gender equality, empowerment of women and intergenerational equity,",1.0,explorer,
UNFCCC.non-party.1881.0,d829f040bcc014e33ba461b82369d639__a23fcdd4b487004d8faf40bf0dd26492fba80e01c7d5d9c0ba190cd0988a9357,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,Indigenous,308,318,"Acknowledging that climate change is a common concern of humankind and that Parties should, when taking action to address climate change, respect, promote and consider their respective obligations on human rights, the right to a clean, healthy and sustainable environment, the right to health, the rights of Indigenous Peoples, local communities, migrants, children, persons with disabilities and people in vulnerable situations and the right to development, as well as gender equality, empowerment of women and intergenerational equity,",1.0,explorer,
UNFCCC.non-party.1881.0,d829f040bcc014e33ba461b82369d639__a23fcdd4b487004d8faf40bf0dd26492fba80e01c7d5d9c0ba190cd0988a9357,VULNERABLE_GROUPS,VULNERABLE_GROUPS,people in vulnerable situations,397,428,"Acknowledging that climate change is a common concern of humankind and that Parties should, when taking action to address climate change, respect, promote and consider their respective obligations on human rights, the right to a clean, healthy and sustainable environment, the right to health, the rights of Indigenous Peoples, local communities, migrants, children, persons with disabilities and people in vulnerable situations and the right to development, as well as gender equality, empowerment of women and intergenerational equity,",1.0,explorer,
UNFCCC.non-party.1881.0,d829f040bcc014e33ba461b82369d639__a23fcdd4b487004d8faf40bf0dd26492fba80e01c7d5d9c0ba190cd0988a9357,LOCAL_AND_RURAL_COMMUNITIES,LOCAL_COMMUNITIES,local communities,328,345,"Acknowledging that climate change is a common concern of humankind and that Parties should, when taking action to address climate change, respect, promote and consider their respective obligations on human rights, the right to a clean, healthy and sustainable environment, the right to health, the rights of Indigenous Peoples, local communities, migrants, children, persons with disabilities and people in vulnerable situations and the right to development, as well as gender equality, empowerment of women and intergenerational equity,",1.0,explorer,
UNFCCC.non-party.1881.0,d829f040bcc014e33ba461b82369d639__a23fcdd4b487004d8faf40bf0dd26492fba80e01c7d5d9c0ba190cd0988a9357,PEOPLE_WITH_DISABILITIES,DISABILITIES,disabilities,380,392,"Acknowledging that climate change is a common concern of humankind and that Parties should, when taking action to address climate change, respect, promote and consider their respective obligations on human rights, the right to a clean, healthy and sustainable environment, the right to health, the rights of Indigenous Peoples, local communities, migrants, children, persons with disabilities and people in vulnerable situations and the right to development, as well as gender equality, empowerment of women and intergenerational equity,",1.0,explorer,
UNFCCC.non-party.1881.0,d829f040bcc014e33ba461b82369d639__a23fcdd4b487004d8faf40bf0dd26492fba80e01c7d5d9c0ba190cd0988a9357,WOMEN_AND_GIRLS,WOMEN,women,502,507,"Acknowledging that climate change is a common concern of humankind and that Parties should, when taking action to address climate change, respect, promote and consider their respective obligations on human rights, the right to a clean, healthy and sustainable environment, the right to health, the rights of Indigenous Peoples, local communities, migrants, children, persons with disabilities and people in vulnerable situations and the right to development, as well as gender equality, empowerment of women and intergenerational equity,",1.0,explorer,
UNFCCC.non-party.1881.0,afe576ec0466a1a717389968e12cdcbd__226d06f320b726e7ce01894d3e697ac8bc2847cd629cfffb508e09b38697dd46,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,Indigenous,180,190,"Reaffirms that sustainable and just solutions to the climate crisis must be founded on meaningful and effective social dialogue and participation of all stakeholders, including Indigenous Peoples, local communities and governments, women, and youth and children, and notes that the global transition to low emissions and climate-resilient development provides opportunities and challenges for sustainable development and poverty eradication;",1.0,explorer,
UNFCCC.non-party.1881.0,afe576ec0466a1a717389968e12cdcbd__226d06f320b726e7ce01894d3e697ac8bc2847cd629cfffb508e09b38697dd46,LOCAL_AND_RURAL_COMMUNITIES,LOCAL_COMMUNITIES,local communities,200,217,"Reaffirms that sustainable and just solutions to the climate crisis must be founded on meaningful and effective social dialogue and participation of all stakeholders, including Indigenous Peoples, local communities and governments, women, and youth and children, and notes that the global transition to low emissions and climate-resilient development provides opportunities and challenges for sustainable development and poverty eradication;",1.0,explorer,
