document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1797.0,8dc21a3d0c3cce4fb410eb305024bbb4__fe28aa4a7a1122c342bbc2eccaa9d5f4136a86954ac381faa784fde8c78bedb4,WOMEN_AND_GIRLS,GENDER,GENDER,8,14,WOMEN & GENDER CONSTITUENCY,1.0,explorer
UNFCCC.non-party.1797.0,0fcd84d57ae50a4420dce07658c93759__57c9d75e817a22a4835163907549e0958eecdf1dfc186af5c4a9a3c73374ec89,WOMEN_AND_GIRLS,GENDER,Gender,20,26,"Note: The Women and Gender Constituency aligns with the submission made by CAN International, thus, this specific submission should be considered as an addition to the detailed submission by CAN International.",1.0,explorer
UNFCCC.non-party.1797.0,fa80cd65ca544e3560c433c661559802__9188d5db43ef60f3f289e224d65673d9c1225c01fff05d1e054e42c4860204ec,WOMEN_AND_GIRLS,GENDER,Gender,289,295,"The Women and Gender Constituency (WGC) emphasizes the critical importance of the drafting process, negotiations and implementation of the first GST decision to prioritize inclusivity and equity and",1.0,explorer
UNFCCC.non-party.1797.0,3ba572cc0c98edaa9f3ef4349b3c6e39__79a3e55e14aab4d4fbcddfccb5197b6b2848257dcc0d9fc1ceb016d1ba9198a2,WOMEN_AND_GIRLS,GENDER,gender,302,308,"The 2023 Global Stocktake marks a pivotal moment for raising the ambition of future climate action, necessitating the integration of scientific evidence, promoting social justice, climate justice, the realization of human rights, meaningful participation and inclusivity, and a commitment to advancing gender equality and feminist principles to ensure a livable planet and wellbeing of people and planet.",1.0,explorer
UNFCCC.non-party.1797.0,145c3c7a6f1af42549d8543046de4777__0537e04342a098bf28860e1724530ad2d080ebd561b3f99a16eb34515f706c41,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,indigenous,242,252,"· increased impacts: extreme weather events, sea-level rise, and biodiversity loss are rapidly increasing and compounding, and disproportionately affecting vulnerable and marginalized groups, including women and girls in all their diversity, indigenous peoples, Afro descendants, and other discriminated groups living in poverty;",1.0,explorer
UNFCCC.non-party.1797.0,145c3c7a6f1af42549d8543046de4777__0537e04342a098bf28860e1724530ad2d080ebd561b3f99a16eb34515f706c41,WOMEN_AND_GIRLS,WOMEN,women,202,207,"· increased impacts: extreme weather events, sea-level rise, and biodiversity loss are rapidly increasing and compounding, and disproportionately affecting vulnerable and marginalized groups, including women and girls in all their diversity, indigenous peoples, Afro descendants, and other discriminated groups living in poverty;",1.0,explorer
UNFCCC.non-party.1797.0,145c3c7a6f1af42549d8543046de4777__0537e04342a098bf28860e1724530ad2d080ebd561b3f99a16eb34515f706c41,WOMEN_AND_GIRLS,GIRLS,girls,212,217,"· increased impacts: extreme weather events, sea-level rise, and biodiversity loss are rapidly increasing and compounding, and disproportionately affecting vulnerable and marginalized groups, including women and girls in all their diversity, indigenous peoples, Afro descendants, and other discriminated groups living in poverty;",1.0,explorer
UNFCCC.non-party.1797.0,145c3c7a6f1af42549d8543046de4777__0537e04342a098bf28860e1724530ad2d080ebd561b3f99a16eb34515f706c41,VULNERABLE_GROUPS,MARGINALIZED_PEOPLE,marginalized groups,171,190,"· increased impacts: extreme weather events, sea-level rise, and biodiversity loss are rapidly increasing and compounding, and disproportionately affecting vulnerable and marginalized groups, including women and girls in all their diversity, indigenous peoples, Afro descendants, and other discriminated groups living in poverty;",1.0,explorer
UNFCCC.non-party.1797.0,6ee9f3683a72a28375643124251f7cb6__92a349a934560394f6c13a79e4f7c5e6018c7c875c5465059d5ae0b720becd6b,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,Indigenous,388,398,"The IPCC warns of the risks of poorly designed mitigation options, with adverse socio-economic and environmental impacts, including on biodiversity, food and water security, local livelihoods, and on human rights, gender equality and the rights of Indigenous Peoples.",1.0,explorer
UNFCCC.non-party.1797.0,6ee9f3683a72a28375643124251f7cb6__92a349a934560394f6c13a79e4f7c5e6018c7c875c5465059d5ae0b720becd6b,WOMEN_AND_GIRLS,GENDER,gender,109,115,"· unequal distribution of benefits and costs including unequal access to finance and technology, with strong gender-differentiated impacts.",1.0,explorer
