document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.party.1761.0,028840cca03097cf1605ef01628d320b__7fedabea88b6557c6f907d57864f125bb4900d9876e594fddd67dec9ddde1390,CHILDREN,YOUNG_PEOPLE,young people,58,70,health services and presents the risk of large cohorts of young people being without activities that will provide them with income-generating opportunities.,1.0,explorer
UNFCCC.party.1761.0,0f914c0d432bf6838aa828b14b1083c5__ab9b310c14fa3c7987932fe4273ea9e784590307c402d7dcbfb47bcee17645ee,CHILDREN,YOUTH,youth,224,229,"Electricity access benefits women, youth, children, and those in marginal groups.",1.0,explorer
UNFCCC.party.1761.0,0f914c0d432bf6838aa828b14b1083c5__ab9b310c14fa3c7987932fe4273ea9e784590307c402d7dcbfb47bcee17645ee,CHILDREN,CHILDREN,children,231,239,"Electricity access benefits women, youth, children, and those in marginal groups.",1.0,explorer
UNFCCC.party.1761.0,0f914c0d432bf6838aa828b14b1083c5__ab9b310c14fa3c7987932fe4273ea9e784590307c402d7dcbfb47bcee17645ee,WOMEN_AND_GIRLS,WOMEN,women,217,222,"Electricity access benefits women, youth, children, and those in marginal groups.",1.0,explorer
UNFCCC.party.1761.0,32f1f97d732e543042baad409de1ed6e__e960ae1118a280da673d5dba221423752b8c17c5f82f5b00eec21e4132aebbb4,LOCAL_AND_RURAL_COMMUNITIES,RURAL_COMMUNITIES,rural communities,308,325,"The payments of royalties can provide valuable revenue to rural communities with limited alternative sources of income, infrastructure, or services.",1.0,explorer
UNFCCC.party.1761.0,0fe9e32009cab7b5bea613e21ddeeb72__ed53aa844f6052c5d4906b4a51798e6fa8a94e9f287f94b3a108a674d94caa05,LOCAL_AND_RURAL_COMMUNITIES,LOCAL_COMMUNITIES,local community,232,247,"Vulnerability assessment is complex, and while recognised at a national level, the provincial and local community level vulnerabilities and needs may be a more appropriate scale.",1.0,explorer
UNFCCC.party.1761.0,70f515b22d888b74b488f5a08cf736ff__d5f7b94d999dc2b79bfef28af34e8504f4a7d23bdc597d02a522f8644ae1b858,WOMEN_AND_GIRLS,GENDER,gender,13,19,"> Mainstream gender and youth considerations into vulnerability, adaptation, and disaster risk reduction.",1.0,explorer
UNFCCC.party.1761.0,70f515b22d888b74b488f5a08cf736ff__d5f7b94d999dc2b79bfef28af34e8504f4a7d23bdc597d02a522f8644ae1b858,CHILDREN,YOUTH,youth,24,29,"> Mainstream gender and youth considerations into vulnerability, adaptation, and disaster risk reduction.",1.0,explorer
UNFCCC.party.1761.0,55c75fa13a3db2ed7e1a61fb789824f5__772216a8f9e28966d756aa19338b10c4fd5737d80b6f71bd2d2459da084cf4cd,LOCAL_AND_RURAL_COMMUNITIES,LOCAL_COMMUNITIES,local communities,224,241,"In particular, forest carbon markets can generate revenue for local communities while leaving forest and mangrove ecosystems left intact.",1.0,explorer
UNFCCC.non-party.1762.0,88b79fd0c2c99c522bbb8978d27a146f__76cbc635569babf86ec8989a58f3c4141a1d5d1ced925f9d6b17e2bdafb3535c,WOMEN_AND_GIRLS,WOMEN,women,495,500,"Initiatives by non-Party stakeholders should also include and support stakeholders and groups that are often marginalized, including women, youth and Indigenous Peoples, so that everyone can effectively participate in and contribute to these efforts.",1.0,explorer
UNFCCC.non-party.1762.0,88b79fd0c2c99c522bbb8978d27a146f__76cbc635569babf86ec8989a58f3c4141a1d5d1ced925f9d6b17e2bdafb3535c,CHILDREN,YOUTH,youth,502,507,"Initiatives by non-Party stakeholders should also include and support stakeholders and groups that are often marginalized, including women, youth and Indigenous Peoples, so that everyone can effectively participate in and contribute to these efforts.",1.0,explorer
UNFCCC.non-party.1762.0,88b79fd0c2c99c522bbb8978d27a146f__76cbc635569babf86ec8989a58f3c4141a1d5d1ced925f9d6b17e2bdafb3535c,LOCAL_AND_RURAL_COMMUNITIES,LOCAL_COMMUNITIES,local communities,25,42,"subnational authorities, local communities and Indigenous Peoples.",1.0,explorer
UNFCCC.non-party.1762.0,88b79fd0c2c99c522bbb8978d27a146f__76cbc635569babf86ec8989a58f3c4141a1d5d1ced925f9d6b17e2bdafb3535c,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,Indigenous,512,522,"Initiatives by non-Party stakeholders should also include and support stakeholders and groups that are often marginalized, including women, youth and Indigenous Peoples, so that everyone can effectively participate in and contribute to these efforts.",1.0,explorer
UNFCCC.non-party.1762.0,88b79fd0c2c99c522bbb8978d27a146f__76cbc635569babf86ec8989a58f3c4141a1d5d1ced925f9d6b17e2bdafb3535c,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,Indigenous,47,57,"subnational authorities, local communities and Indigenous Peoples.",1.0,explorer
UNFCCC.non-party.1762.0,7cfbdae5347a8cd52018cea909e2b2cf__993f1cb0e2a2441dcdb7cb0166664231df8b8161887a287bac440ad746a52ff6,VULNERABLE_GROUPS,MINORITY_GROUPS,minority groups,599,614,"Partnerships with traditionally marginalized groups, including women, youth, Indigenous Peoples and local communities, and ethnic and other minority groups, are vitally important.",1.0,explorer
UNFCCC.non-party.1762.0,7cfbdae5347a8cd52018cea909e2b2cf__993f1cb0e2a2441dcdb7cb0166664231df8b8161887a287bac440ad746a52ff6,CHILDREN,YOUTH,youth,529,534,"Partnerships with traditionally marginalized groups, including women, youth, Indigenous Peoples and local communities, and ethnic and other minority groups, are vitally important.",1.0,explorer
UNFCCC.non-party.1762.0,7cfbdae5347a8cd52018cea909e2b2cf__993f1cb0e2a2441dcdb7cb0166664231df8b8161887a287bac440ad746a52ff6,VULNERABLE_GROUPS,MARGINALIZED_PEOPLE,marginalized groups,491,510,"Partnerships with traditionally marginalized groups, including women, youth, Indigenous Peoples and local communities, and ethnic and other minority groups, are vitally important.",1.0,explorer
UNFCCC.non-party.1762.0,7cfbdae5347a8cd52018cea909e2b2cf__993f1cb0e2a2441dcdb7cb0166664231df8b8161887a287bac440ad746a52ff6,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,Indigenous,536,546,"Partnerships with traditionally marginalized groups, including women, youth, Indigenous Peoples and local communities, and ethnic and other minority groups, are vitally important.",1.0,explorer
UNFCCC.non-party.1762.0,7cfbdae5347a8cd52018cea909e2b2cf__993f1cb0e2a2441dcdb7cb0166664231df8b8161887a287bac440ad746a52ff6,WOMEN_AND_GIRLS,WOMEN,women,522,527,"Partnerships with traditionally marginalized groups, including women, youth, Indigenous Peoples and local communities, and ethnic and other minority groups, are vitally important.",1.0,explorer
UNFCCC.non-party.1762.0,7cfbdae5347a8cd52018cea909e2b2cf__993f1cb0e2a2441dcdb7cb0166664231df8b8161887a287bac440ad746a52ff6,LOCAL_AND_RURAL_COMMUNITIES,LOCAL_COMMUNITIES,local communities,559,576,"Partnerships with traditionally marginalized groups, including women, youth, Indigenous Peoples and local communities, and ethnic and other minority groups, are vitally important.",1.0,explorer
UNFCCC.non-party.1762.0,13b7034781f293e6a5e01895cafe554d__7ca04ba94c585f2ae86f25a2d8d70d84158d904424c94cb73266b3cc6120ce2e,VULNERABLE_GROUPS,IMPACTED_PEOPLE,impacted communities,190,210,"Key finding 12: averting, minimizing and addressing loss and damage requires urgent action across climate and development policies to manage risks comprehensively and provide support to impacted communities.",1.0,explorer
UNFCCC.non-party.1762.0,9f512ef9a1ba4cc73da992eef5edfc69__f035cec4fcba1365eaeae067f2d9e15edb793ad9e33450713dcd23cc32aeeda0,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,Indigenous,149,159,"Strategic capacity-building support to developing countries needs to be scaled up to address locally determined needs, including on the basis of Indigenous and other traditional knowledge systems.",1.0,explorer
UNFCCC.non-party.1762.0,ba78abb25af6ea34e7d4728df2f5499f__d7b5141fc3927786f325b242cf197d191486ce533e6c3e117572e3d6495e97e0,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,Indigenous,704,714,"Climate action and support are enhanced by catalysing action by all Parties and non-Party stakeholders, including civil society, the private sector, financial institutions, cities and other subnational authorities, local communities and Indigenous Peoples.",1.0,explorer
UNFCCC.non-party.1762.0,ba78abb25af6ea34e7d4728df2f5499f__d7b5141fc3927786f325b242cf197d191486ce533e6c3e117572e3d6495e97e0,LOCAL_AND_RURAL_COMMUNITIES,LOCAL_COMMUNITIES,local communities,682,699,"Climate action and support are enhanced by catalysing action by all Parties and non-Party stakeholders, including civil society, the private sector, financial institutions, cities and other subnational authorities, local communities and Indigenous Peoples.",1.0,explorer
UNFCCC.non-party.1762.0,ba78abb25af6ea34e7d4728df2f5499f__d7b5141fc3927786f325b242cf197d191486ce533e6c3e117572e3d6495e97e0,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,Indigenous,1232,1242,"Non-Party stakeholders should endeavour to include and support stakeholders who are often marginalized, including women, youth and Indigenous Peoples, so they can all effectively participate in and contribute to these initiatives.",1.0,explorer
UNFCCC.non-party.1762.0,ba78abb25af6ea34e7d4728df2f5499f__d7b5141fc3927786f325b242cf197d191486ce533e6c3e117572e3d6495e97e0,WOMEN_AND_GIRLS,WOMEN,women,1215,1220,"Non-Party stakeholders should endeavour to include and support stakeholders who are often marginalized, including women, youth and Indigenous Peoples, so they can all effectively participate in and contribute to these initiatives.",1.0,explorer
UNFCCC.non-party.1762.0,ba78abb25af6ea34e7d4728df2f5499f__d7b5141fc3927786f325b242cf197d191486ce533e6c3e117572e3d6495e97e0,CHILDREN,YOUTH,youth,1222,1227,"Non-Party stakeholders should endeavour to include and support stakeholders who are often marginalized, including women, youth and Indigenous Peoples, so they can all effectively participate in and contribute to these initiatives.",1.0,explorer
UNFCCC.non-party.1762.0,4b1e2c8dd731cb79240b6e7d58cb5abd__90da62bb7877c132e63dfd357b256cf1ec322a0061daf47253c38efd2c128062,VULNERABLE_GROUPS,MARGINALIZED_PEOPLE,marginalized groups,103,122,Approaches to climate action that are aligned with a country’s human rights obligations would make marginalized groups part of the solutions.,1.0,explorer
UNFCCC.non-party.1762.0,e9647e8593645e67d0df99d66f69a0e4__81ccb8f014778d2d4c8883652657e670cb393d310895a5c1b16692947fdf26a8,WOMEN_AND_GIRLS,GENDER,gender,347,353,Integrating broader considerations into policy development and implementation can improve the ability to address equity and gender equality.,1.0,explorer
UNFCCC.non-party.1762.0,56870d44c3893ca64ed8df042f769bd6__0257a258765167882d49884c90bcd4412e69d5d599a0d22043c3137cba926cde,LOCAL_AND_RURAL_COMMUNITIES,LOCAL_COMMUNITIES,local communities,1726,1743,"Within their NAPs, countries are also placing a focus on considering gender and the vulnerability of women to climate impacts, as well as on meaningfully engaging Indigenous Peoples and local communities and their knowledge systems.",1.0,explorer
UNFCCC.non-party.1762.0,56870d44c3893ca64ed8df042f769bd6__0257a258765167882d49884c90bcd4412e69d5d599a0d22043c3137cba926cde,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,Indigenous,749,759,"The process to formulate and implement NAPs is guided by the following principles: ensuring a continuous, progressive and iterative process that is not prescriptive; facilitating country-owned, country-driven action; following a gender-sensitive, participatory and transparent approach, taking into consideration vulnerable groups, communities and ecosystems; and being based on and guided by the best available science and traditional and Indigenous knowledge.",1.0,explorer
UNFCCC.non-party.1762.0,56870d44c3893ca64ed8df042f769bd6__0257a258765167882d49884c90bcd4412e69d5d599a0d22043c3137cba926cde,WOMEN_AND_GIRLS,GENDER,gender,1609,1615,"Within their NAPs, countries are also placing a focus on considering gender and the vulnerability of women to climate impacts, as well as on meaningfully engaging Indigenous Peoples and local communities and their knowledge systems.",1.0,explorer
UNFCCC.non-party.1762.0,56870d44c3893ca64ed8df042f769bd6__0257a258765167882d49884c90bcd4412e69d5d599a0d22043c3137cba926cde,WOMEN_AND_GIRLS,GENDER,gender,538,544,"The process to formulate and implement NAPs is guided by the following principles: ensuring a continuous, progressive and iterative process that is not prescriptive; facilitating country-owned, country-driven action; following a gender-sensitive, participatory and transparent approach, taking into consideration vulnerable groups, communities and ecosystems; and being based on and guided by the best available science and traditional and Indigenous knowledge.",1.0,explorer
UNFCCC.non-party.1762.0,56870d44c3893ca64ed8df042f769bd6__0257a258765167882d49884c90bcd4412e69d5d599a0d22043c3137cba926cde,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,Indigenous,1703,1713,"Within their NAPs, countries are also placing a focus on considering gender and the vulnerability of women to climate impacts, as well as on meaningfully engaging Indigenous Peoples and local communities and their knowledge systems.",1.0,explorer
UNFCCC.non-party.1762.0,56870d44c3893ca64ed8df042f769bd6__0257a258765167882d49884c90bcd4412e69d5d599a0d22043c3137cba926cde,WOMEN_AND_GIRLS,WOMEN,women,1641,1646,"Within their NAPs, countries are also placing a focus on considering gender and the vulnerability of women to climate impacts, as well as on meaningfully engaging Indigenous Peoples and local communities and their knowledge systems.",1.0,explorer
UNFCCC.non-party.1762.0,56870d44c3893ca64ed8df042f769bd6__0257a258765167882d49884c90bcd4412e69d5d599a0d22043c3137cba926cde,VULNERABLE_GROUPS,VULNERABLE_GROUPS,vulnerable groups,622,639,"The process to formulate and implement NAPs is guided by the following principles: ensuring a continuous, progressive and iterative process that is not prescriptive; facilitating country-owned, country-driven action; following a gender-sensitive, participatory and transparent approach, taking into consideration vulnerable groups, communities and ecosystems; and being based on and guided by the best available science and traditional and Indigenous knowledge.",1.0,explorer
UNFCCC.non-party.1762.0,e3f32d2966eb84eda46b8fce93d8c9e2__164e74508379f17bf4fdd666041f63574615fa80c1d1ba73c0a4e26ae81cb2d2,VULNERABLE_GROUPS,MINORITY_GROUPS,minority groups,800,815,"It is also important to develop partnerships with traditionally marginalized groups, including women, youth, Indigenous Peoples and local communities as well as ethnic and other minority groups.",1.0,explorer
UNFCCC.non-party.1762.0,e3f32d2966eb84eda46b8fce93d8c9e2__164e74508379f17bf4fdd666041f63574615fa80c1d1ba73c0a4e26ae81cb2d2,LOCAL_AND_RURAL_COMMUNITIES,LOCAL_COMMUNITIES,local communities,754,771,"It is also important to develop partnerships with traditionally marginalized groups, including women, youth, Indigenous Peoples and local communities as well as ethnic and other minority groups.",1.0,explorer
UNFCCC.non-party.1762.0,e3f32d2966eb84eda46b8fce93d8c9e2__164e74508379f17bf4fdd666041f63574615fa80c1d1ba73c0a4e26ae81cb2d2,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,Indigenous,731,741,"It is also important to develop partnerships with traditionally marginalized groups, including women, youth, Indigenous Peoples and local communities as well as ethnic and other minority groups.",1.0,explorer
UNFCCC.non-party.1762.0,e3f32d2966eb84eda46b8fce93d8c9e2__164e74508379f17bf4fdd666041f63574615fa80c1d1ba73c0a4e26ae81cb2d2,VULNERABLE_GROUPS,MARGINALIZED_PEOPLE,marginalized groups,686,705,"It is also important to develop partnerships with traditionally marginalized groups, including women, youth, Indigenous Peoples and local communities as well as ethnic and other minority groups.",1.0,explorer
UNFCCC.non-party.1762.0,e3f32d2966eb84eda46b8fce93d8c9e2__164e74508379f17bf4fdd666041f63574615fa80c1d1ba73c0a4e26ae81cb2d2,CHILDREN,YOUTH,youth,724,729,"It is also important to develop partnerships with traditionally marginalized groups, including women, youth, Indigenous Peoples and local communities as well as ethnic and other minority groups.",1.0,explorer
UNFCCC.non-party.1762.0,e3f32d2966eb84eda46b8fce93d8c9e2__164e74508379f17bf4fdd666041f63574615fa80c1d1ba73c0a4e26ae81cb2d2,WOMEN_AND_GIRLS,WOMEN,women,717,722,"It is also important to develop partnerships with traditionally marginalized groups, including women, youth, Indigenous Peoples and local communities as well as ethnic and other minority groups.",1.0,explorer
UNFCCC.non-party.1762.0,a7c2242158d0f6441414d425c8f7042a__e1921f832d01105ffaa758a354e5662a7f47490291a131e532037233b29d9c27,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,indigenous,12,22,Documenting indigenous,1.0,explorer
UNFCCC.non-party.1762.0,f94a6cc4044b8145a1ec67a06d418176__b8c278dd8bade9ab13f1034a3dfa597c1aa91faa81485516939e6ada381e64d6,WOMEN_AND_GIRLS,WOMEN,Women,321,326,"Women often face higher risks and greater burdens from the impacts of climate change because they are in situations of poverty and owing to existing roles, responsibilities and cultural norms.",1.0,explorer
UNFCCC.non-party.1762.0,f94a6cc4044b8145a1ec67a06d418176__b8c278dd8bade9ab13f1034a3dfa597c1aa91faa81485516939e6ada381e64d6,VULNERABLE_GROUPS,VULNERABLE_GROUPS,vulnerable communities,53,75,"Climate change greatly impacts the world’s most vulnerable communities and social groups, whether in developed or developing countries, and exacerbates existing inequalities.",1.0,explorer
UNFCCC.non-party.1762.0,f94a6cc4044b8145a1ec67a06d418176__b8c278dd8bade9ab13f1034a3dfa597c1aa91faa81485516939e6ada381e64d6,WOMEN_AND_GIRLS,WOMEN,women,314,319,"There is a great need for climate services to reach communities that have historically not had access to climate information, such as women.",1.0,explorer
UNFCCC.non-party.1762.0,d79c3dd25b127caa594d0fcd707066b6__60115d7b745743bb10bb71f6166be545b818157fce74542ff611b982417a2cb0,VULNERABLE_GROUPS,IMPACTED_PEOPLE,impacted communities,191,211,"Key finding 12: averting, minimizing and addressing loss and damage requires urgent action across climate and development policies to manage risks comprehensively and provide support to impacted communities.",1.0,explorer
UNFCCC.non-party.1762.0,89cfef0726789850c3979dccaa5b7fa8__4a26d5489cc8ff65dbdb4ebdd096b8037226d9772681d84bec84c303c50e1e12,VULNERABLE_GROUPS,IMPACTED_PEOPLE,impacted communities,1059,1079,"There are also significant barriers to accessing support for impacted communities, and a need to raise awareness of available sources of support and mobilize resources and technical assistance to those impacted.",1.0,explorer
UNFCCC.non-party.1762.0,6763f25966a3ba34c463fdf95ce2f2bc__6bdb78a52805312f39fed836489463d3eec189425b109d67ea7f006de2d225cb,VULNERABLE_GROUPS,DISADVANTAGED_PEOPLE,disadvantaged communities,452,477,"These efforts, particularly when focused on vulnerable and disadvantaged communities, can also raise awareness of available sources of support and thereby increase the mobilization of support to those most in need.",1.0,explorer
UNFCCC.non-party.1762.0,2878ddbc86cff184d8709c0b21e67273__eb6ceff14fd3a28982db538d97b969ae0ea8a0ed18308108c059783ebfe99233,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,Indigenous,392,402,Capacity-building based on Indigenous and other traditional knowledge systems also presents opportunities for more sustainable avenues to long-term capacity development.,1.0,explorer
UNFCCC.non-party.1762.0,d107997bfba32d246e6df42f799a5a9a__3539c98f2ddc5e3e11e25071ec822f9c96f019648e17feb5b5b78fa43d01c365,WOMEN_AND_GIRLS,GENDER,gender,451,457,"In addition, a number of experts, facilitators and panel members were invited to support TD events and prepare presentations, prompts, and world café station notes to guide the discussions.5 Selection of experts, facilitators and panel members respected gender and geographical balance to the extent possible, while ensuring relevant expertise in the related fields.",1.0,explorer
UNFCCC.non-party.1754.0,31a56d565e48ca9aa2c64e2a2153916e__c06347057e527ce730f7ddb777e98b5c5ba13333041390a893cf8552b5084316,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,Indigenous,176,186,"• Curbing and reversing deforestation and degradation, including by expanding conservation areas, instituting moratoria on forest conversion, securing tenure and protection of Indigenous territories, encouraging sustainable land-use practices, developing sustainable land-use and management plans, and decreasing pressure from the agricultural sector.",1.0,explorer
UNFCCC.non-party.1754.0,65bb6222058cba803c73a25530ba0715__2271adc858549a062b4599a04276497aa5ae26062c35e88b65b09d7f281212a5,LOCAL_AND_RURAL_COMMUNITIES,LOCAL_COMMUNITIES,local communities,14,31,"• Integrating local communities and civil society in the planning, implementation, and monitoring of conservation activities to ensure good governance, accountability, rule of law, and the upholding of human rights.",1.0,explorer
UNFCCC.non-party.1754.0,e96657f443a0fa3eb88809835d06bf9e__a422d47f64bd526317b5fc5663e2231c7ef75b89e5265fb8e1d887b302405303,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,indigenous,158,168,"• Expanding support for ecosystem stewardship by indigenous peoples and local communities, including by strengthening legislation for securing land rights of indigenous peoples and local communities according to traditional values and practices of land tenure.",1.0,explorer
UNFCCC.non-party.1754.0,e96657f443a0fa3eb88809835d06bf9e__a422d47f64bd526317b5fc5663e2231c7ef75b89e5265fb8e1d887b302405303,LOCAL_AND_RURAL_COMMUNITIES,LOCAL_COMMUNITIES,local communities,72,89,"• Expanding support for ecosystem stewardship by indigenous peoples and local communities, including by strengthening legislation for securing land rights of indigenous peoples and local communities according to traditional values and practices of land tenure.",1.0,explorer
UNFCCC.non-party.1754.0,e96657f443a0fa3eb88809835d06bf9e__a422d47f64bd526317b5fc5663e2231c7ef75b89e5265fb8e1d887b302405303,LOCAL_AND_RURAL_COMMUNITIES,LOCAL_COMMUNITIES,local communities,181,198,"• Expanding support for ecosystem stewardship by indigenous peoples and local communities, including by strengthening legislation for securing land rights of indigenous peoples and local communities according to traditional values and practices of land tenure.",1.0,explorer
UNFCCC.non-party.1754.0,e96657f443a0fa3eb88809835d06bf9e__a422d47f64bd526317b5fc5663e2231c7ef75b89e5265fb8e1d887b302405303,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,indigenous,49,59,"• Expanding support for ecosystem stewardship by indigenous peoples and local communities, including by strengthening legislation for securing land rights of indigenous peoples and local communities according to traditional values and practices of land tenure.",1.0,explorer
UNFCCC.non-party.1754.0,dda1fc620385c5af7d2c3e1b3adcd73f__f80939634fcfe4562c3e02d76fee6da273e5a6f72eba29a26ec9b93e17bbc835,WOMEN_AND_GIRLS,GENDER,Gender,2,8,"• Gender-sensitive, equity- and justice-based adaptation approaches, integration of indigenous knowledge systems within legal frameworks and the promotion of indigenous land tenure rights reduce vulnerability and increase resilience.",1.0,explorer
UNFCCC.non-party.1754.0,dda1fc620385c5af7d2c3e1b3adcd73f__f80939634fcfe4562c3e02d76fee6da273e5a6f72eba29a26ec9b93e17bbc835,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,indigenous,158,168,"• Gender-sensitive, equity- and justice-based adaptation approaches, integration of indigenous knowledge systems within legal frameworks and the promotion of indigenous land tenure rights reduce vulnerability and increase resilience.",1.0,explorer
UNFCCC.non-party.1754.0,dda1fc620385c5af7d2c3e1b3adcd73f__f80939634fcfe4562c3e02d76fee6da273e5a6f72eba29a26ec9b93e17bbc835,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,indigenous,84,94,"• Gender-sensitive, equity- and justice-based adaptation approaches, integration of indigenous knowledge systems within legal frameworks and the promotion of indigenous land tenure rights reduce vulnerability and increase resilience.",1.0,explorer
UNFCCC.non-party.1754.0,2dd7c6c5df22e30ea0f609dbae3f69c8__c1464d794ee07d6fdd43d958a5263562a21d843afa27860d8cdec30d15406eb0,WOMEN_AND_GIRLS,GENDER,gender,159,165,"• Measures to reduce emissions in the buildings sector can also yield co-benefits that improve well-being, including by improving indoor air quality, reducing gender inequalities, and addressing energy poverty.116",1.0,explorer
UNFCCC.non-party.1754.0,7e72b5637da8c86f6434bdbd2cd34723__c173fa220a48708db4cf340b8bda6acbe9bad2631a132d0ad5a7a7a2e77981be,CHILDREN,CHILDREN,children,136,144,134 https://www.who.int/initiatives/food-systems-for-health/the-coalition-of-action-on-healthy-diets-from- sustainable-food-systems-for-children-and-all.,1.0,explorer
UNFCCC.non-party.1754.0,3158f7774cff2427b56d93048cc85890__aef27a8e208d22dac059e2d75f578b28ece5fcd29a9d8184cca6a585d303af50,LOCAL_AND_RURAL_COMMUNITIES,LOCAL_COMMUNITIES,local communities,634,651,"In addition, it is crucial to engage: (1) MDBs and IFIs to increase public and multilateral investments in the sector, including by driving in private finance at scale; (2) legislators and policymakers, to create the enabling conditions at a national level; (3) and local communities, where renewable energy projects will operate, in order to guarantee their right to free, prior, and informed consent.",1.0,explorer
UNFCCC.non-party.1754.0,062b1ae21787d5c389948e0f1543b550__8183927c875da1e1fc3e326aebd232f72696463c93e68aafe3e3cf0199b59b9c,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,Indigenous,176,186,"• Curbing and reversing deforestation and degradation, including by expanding conservation areas, instituting moratoria on forest conversion, securing tenure and protection of Indigenous territories, encouraging sustainable land-use practices, developing sustainable land-use and management plans, and decreasing pressure from the agricultural sector.",1.0,explorer
UNFCCC.non-party.1754.0,f05aa414b04f0a24f9a9d58376d2713b__f7a55a85094ff2e70de87d6130a834480d189908beb1baa82f52022bebbd10d0,WOMEN_AND_GIRLS,GENDER,gender,75,81,"• Improved well-being, including by improving indoor air quality, reducing gender inequalities, and addressing energy poverty.",1.0,explorer
UNFCCC.party.1758.0,19f0a777aafc8f9350f020660a1ad00a__79726263a437cb22a545b84c44d89f431fe21cad7b58a8812ccbab1dae6659af,INDIGENOUS_PEOPLE,INDIGENOUS_PEOPLE,Indigenous,44,54,"Support to the International Work Group for Indigenous Affairs (IWGIA) (adaptation, 8.35 million 351",1.0,explorer
