text,Barriers And Challenges,Equity And Just Transition,Good Practice And Opportunities,Deforestation,Vulnerable Groups,Financial Flows
"Through this submission, we would like to draw attention to one significant gap in climate action",gap in climate action,,,,,
"Though well-known in the Cryosphere scientific community, due to their complexity these linkages remain poorly understood by national and sub-national policy makers, especially as regards their essential permanence (centuries to millennia) on human timescales. Such permanent global-scale impacts from further loss of Cryosphere due to overshoot are of key importance to assessing progress in the Stocktake process.¹","Though well-known in the Cryosphere scientific community, due to their complexity these linkages remain poorly understood by national and sub-national policy makers, especially as regards their essential permanence (centuries to millennia) on human timescales",,,,,
"We agree with the IPCC's Sixth Assessment report that ""Any further delay in concerted anticipatory global action on adaptation and mitigation will miss a brief and rapidly closing window of opportunity to secure a liveable and sustainable future for all."" Urgent change is required in how we produce our electricity, heat our homes and travel.",Any further delay in concerted anticipatory global action on adaptation and mitigation will miss a brief and rapidly closing window of opportunity to secure a liveable and sustainable future for all,,,,,
"Effective ACE is fundamental to empowering the social and political will needed to achieve the required scale of action required to adequately respond to the climate crisis. A comprehensive ACE response will help overcome inaction and denial across education, government, civil society, business, media, and communication sectors globally. However, ACE has historically remained a marginal focus in intergovernmental processes, and for many countries it is still underdeveloped as a key means to foster climate change mitigation and adaptation, and just transitions.","ACE has historically remained a marginal focus in intergovernmental processes, and for many countries it is still underdeveloped as a key means to foster climate change mitigation and adaptation",just transitions,Effective ACE is fundamental to empowering the social and political will needed to achieve the required scale of action required to adequately respond to the climate crisis,,,
"UNEP adaptation gap report suggested adaptation costs ""in developing countries alone"" could reach $140-300bn in 2030, which echoes language in the Paris Agreement urging a ""balance between adaptation and mitigation"" finance. Extreme weather events and unimaginable destructions throughout the world are clear proof there is more we should do other than mitigation and adaptation i.e., recognize and compensate for loss and damage. There have been estimations that have placed the costs of loss and damage at $300-700bn by 2030, rising to $1.2tn per year by 2060. Huge climate finance is required to implement the scale of action demanded by the urgency of the climate crisis.","adaptation costs ""in developing countries alone"" could reach $140-300bn in 2030|There have been estimations that have placed the costs of loss and damage at $300-700bn by 2030, rising to $1.2tn per year by 2060. Huge climate finance is required to implement the scale of action demanded by the urgency of the climate crisis",,,,,
BUR COP FSV GHG ICA LULUCF non-Annex I Party SBI,,,,LULUCF,,
"(2) Some of the global finance flowing for climate action is likely addressing loss and damage. However, there is no clear estimate for how much it was, nor is there a clear or comprehensive understanding of mechanisms to directly address loss and damage once a climate catastrophe hits. Existing flows are nowhere close lose to addressing the full scale and scope of the problem.","there is no clear estimate for how much it was, nor is there a clear or comprehensive understanding of mechanisms to directly address loss and damage once a climate catastrophe hits. Existing flows are nowhere close lose to addressing the full scale and scope of the problem",,,,,
"the weakness of basic infrastructure: electricity, telecommunications, means of transport; • socio-politico-military conflicts.","weakness of basic infrastructure: electricity, telecommunications, means of transport;|socio-politico-military conflicts.",,,,,
"As water resources are under increasing pressure due to increasing demand from society, understanding the effects of climate change on the different components of the water cycle is of strategic importance for water management. this essential resource.",water resources are under increasing pressure due to increasing demand from society,,,,,
"The EU has decided that at least 30% - the highest share ever- of the €2.02 trillion made up of (i) the current EU long-term budget (2021-2027) and (ii) the EU Recovery instrument (also known as Next Generation EU; period 2021-2023/2026³1) will be used for climate-related policies and programmes (up from 20% in the 2014 - 2020 programme period). This means around EUR 606 billion, compared to around EUR 210 billion in the previous period. Furthermore, the Just Transition Mechanism, while using some EUR 21 billion in grants and several billion EUR in funded guarantees from the EU budget, is expected to mobilize around EUR 148 billion (2021-2027) in total of private and public investments to alleviate the socio-economic impact of green transition in the most affected regions and sectors in EU.",,socio-economic impact of green transition,,,,
"62. For the forestry sector, the four mitigation actions focus on maintaining the existing forest and forest carbon stocks by preventing deforestation and forest degradation; expanding the forest and carbon sinks through afforestation, reforestation, agroforestry and the establishment of urban green landscapes; promoting and maintaining sustainable forest and non-timber forest products; and increasing the efficiency of forest resources. The Lao People's Democratic Republic reported potential emission reductions of 60,000-69,000 kt CO₂ eq to be achieved by maintaining existing forest and carbon sinks. Under this action, the Party intends to increase forest cover by 16.58 Mha by 2020, reduce slash and burn agriculture by 15 per cent by 2030, and ensure that 50 per cent of protected and conserved forest areas is well managed. The Party also aims to establish 500,000 ha plantations by 2020 and one park per community (with a population greater than 100,000) by 2030.",,,,"establish 500,000 ha plantations by 2020",,
"Emissions from the waste sector in 2017 took up 2.4% of Korea's total GHG emissions. It is important to maximize resource efficiency while minimizing resource inputs throughout the entire product lifecycle from the extraction of natural resources, to production, distribution and consumption of products, to recycling and disposal of their waste - and creating a virtuous cycle where resources are reused and recycled repeatedly. This circular system will fundamentally reduce the amount of wastes generated at source.",,,"It is important to maximize resource efficiency while minimizing resource inputs throughout the entire product lifecycle from the extraction of natural resources, to production, distribution and consumption of products, to recycling and disposal of their waste - and creating a virtuous cycle where resources are reused and recycled repeatedly. This circular system will fundamentally reduce the amount of wastes generated at source.",,,
"The restoration of wetlands is critical for fisheries and for the protection of infrastructure from storms and sea level rise. The replenishment of dunes prevents the salinization of rivers, and the development of eco-tourism fosters investments in biodiversity conservation. Policies implemented in other sectors can have a positive impact on coastal sector and tourism, and may include the integrated management of fisheries. Such an approach may improve the health of coastal ecosystems, and enhance investments in resource efficiency (through R&D and infrastructure) and lead to a reduction in ecological footprint of coastal resorts.",,,"Policies implemented in other sectors can have a positive impact on coastal sector and tourism, and may include the integrated management of fisheries. Such an approach may improve the health of coastal ecosystems, and enhance investments in resource efficiency (through R&D and infrastructure) and lead to a reduction in ecological footprint of coastal resorts.",,,
"46. The LULUCF experts find the data and information provided in the technical annex to be overall consistent with the guidelines referred to in decision 14/CP.19, paragraph 9.",,,,LULUCF,,
"Advances in the generation of information disaggregated by sex. In the 2018-2019 period, based on the recommendations for gender integration in the Fifth National Communication and the Third BUR, a process of analysis of the feasibility of gender integration in the INGEI was carried out. The objective of this process was to identify the possibility of obtaining population data, and from it, the disaggregation by sex of the sources that report to the INGEI. For this, a sectoral consultation was carried out that allowed us to have a first general knowledge about the viability of each sector with respect to this information. The conclusion was that although it is not possible to automatically generate emission data disaggregated by sex, there are differences between the categories reported in relation to the feasibility of doing so. As an intangible result, it must be expressed that this process allowed problematizing with the sectors that report to the INGEI about the relevance and potential of having this information, an aspect that may be considered in new information generation designs.",,gender integration|gender integration|sex|sex,,,,
Restoration of degraded classified forests (PEM 2);,,,,Restoration of degraded classified forests,,
"DOE's Energy Efficiency and Conservation Block Grant Program has provided more than $2.7 billion in funding to local and state governments, tribal governments, and territories. The program assists eligible entities in implementing strategies that will improve energy efficiency in the transportation, building, and other appropriate sectors, and reduce fossil fuel emissions and total energy use in an environmentally sustainable manner. Activities that may use grant funds range from strategic planning, information sharing, and developing building codes, to installing renewable energy technologies, to implementing technologies to reduce, capture, and use GHGs from landfills or similar sources.",,,,,tribal governments,
"CDC's Climate and Health Program helps states, cities, territories, and tribes protect human health from a changing climate. CDC provides data, tools, and technical guidance to help U.S. health agencies reduce vulnerability and increase resilience to the health effects of climate change.",,,,,tribes,
"Meanwhile, of course, the depth of global inequity extends far beyond the scope of the GST. To manage this mismatch, we should seek to orient the GST towards equity, recognizing that the implications will shift over time. The GST's modalities should be linked with broader efforts to recognize and countervail inequity. This is why process-based indicators may be of use along with greater attention to cross-cutting issues like capacity building and support.",,efforts to recognize and countervail inequity,,,,
"The NSW Government's Coastal Management Program is investing around $63 million to support local government to implement actions that reduce exposure to coastal hazards. Local governments can receive up to 50 per cent funding to implement coastal zone management plans, hazards assessments and coastal management tools and to undertake environmental repairs and construction works.",,,,,,funding
Information on EU provision of financial resources through multilateral channels can be found in [3BR] Section 6.3.,,,,,,financial resources
"Three emission reduction options are possible and based on the improvement of current management methods: the landfilling of solid waste followed by the capture of the biogas produced for energy purposes, the composting of the fermentable fraction of the waste and the treatment in wastewater aerobics. The implementation will contribute to mitigating GHG emissions, improving the living environment, recovering materials and energy and creating jobs.",,creating jobs,possible,,,
"4.4.2.2 Livestock The model for carrying out mitigation scenario analysis for livestock management has been customised by replicating the national inventories from 2006 to 2013. Figure 4.8 shows the GHG emissions in livestock management for BAU and Policy scenarios. BAU scenario reveals the expected change in GHG emissions from the livestock sub-sector in the absence of the Strategic Plan 2016-2020 (Ministry of Agro-Industry and Food Security, 2016).",,,,livestock management|livestock management|livestock sub-sector,,
"91. The TTE conducted a technical analysis of the information reported in the third BUR of North Macedonia in accordance with the UNFCCC reporting guidelines on BURS and concludes that the information reported is mostly consistent. It provides an overview of national circumstances and institutional arrangements relevant to the preparation of NCs on a continuous basis; the national inventory of anthropogenic emissions by sources and removals by sinks of all GHGs not controlled by the Montreal Protocol, including an NIR; mitigation actions and their effects, including associated methodologies and assumptions; constraints and gaps, and related financial, technical and capacity-building needs, including a description of support needed and received; the level of support received to enable the preparation and submission of BURS; domestic MRV and its planned and ongoing improvements; and any other information relevant to the achievement of the objective of the Convention. During the technical analysis, additional information was provided by North Macedonia on the GHG inventory, steps taken and quantitative goals for some of the mitigation measures, and nationally determined technology needs and technology support received. The TTE concluded that the information analysed is mostly transparent.",,,,,,financial
"o In the Arctic indigenous communities observe changes in the local ecosystem as the climate warms. Traditional fisherfolk have observed an increase in pink salmon (Oncorhynchus gorbuscha) and learned to adapt their practices accordingly. In Nordic countries, with the example of Finnland, existing climate policies and practices engage indigenous peoples and learn from their observations and adaptive practices. The Finnish government is working to reform its Climate Change Act and strengthen the engagement of the Sami people through including creating a Sami climate council. o In the Arctic, indigenous communities observe changes in the local ecosystem as the climate warms. Impacts on snow, sea ice, and permafrost impact traditional practices of reindeer herding, hunting, and fishing, all practices that indigenous communities rely on for cultural wellbeing, food security, and livelihoods.",,strengthen the engagement,learned to adapt,,Traditional fisherfolk|Sami people|Sami,
