,Concept 1,Concept 2,Count
0,Barriers And Challenges – Challenges,Sectors – Industry,2185
1,Barriers And Challenges – Challenges,Greenhouse Gases – Greenhouse Gases,5207
2,Barriers And Challenges – Challenges,Barriers And Challenges – Challenges,5404
3,Greenhouse Gases – Greenhouse Gases,Sectors – Industry,34447
4,Deforestation – Forests,"Sectors – Agriculture, Forestry And Other Land Use",82386
5,Deforestation – Deforestation,"Sectors – Agriculture, Forestry And Other Land Use",9662
6,Policy Instruments – Governance,"Sectors – Agriculture, Forestry And Other Land Use",16532
7,Deforestation – Rainforests,"Sectors – Agriculture, Forestry And Other Land Use",374
8,"Sectors – Agriculture, Forestry And Other Land Use",Vulnerable Groups – Indigenous People,1882
9,Barriers And Challenges – Challenges,"Sectors – Agriculture, Forestry And Other Land Use",5224
10,Deforestation – Forests,Deforestation – Forests,89102
11,Deforestation – Deforestation,Deforestation – Forests,18981
12,Deforestation – Forests,Policy Instruments – Governance,11655
13,Deforestation – Forests,Deforestation – Rainforests,739
14,Deforestation – Forests,Vulnerable Groups – Indigenous People,1600
15,Barriers And Challenges – Challenges,Deforestation – Forests,2749
16,Deforestation – Deforestation,Policy Instruments – Governance,1163
17,Deforestation – Deforestation,Deforestation – Rainforests,105
18,Deforestation – Deforestation,Vulnerable Groups – Indigenous People,247
19,Barriers And Challenges – Challenges,Deforestation – Deforestation,458
20,Deforestation – Rainforests,Policy Instruments – Governance,18
21,Policy Instruments – Governance,Vulnerable Groups – Indigenous People,606
22,Barriers And Challenges – Challenges,Policy Instruments – Governance,4242
23,Deforestation – Rainforests,Vulnerable Groups – Indigenous People,44
24,Barriers And Challenges – Challenges,Deforestation – Rainforests,18
25,Barriers And Challenges – Challenges,Vulnerable Groups – Indigenous People,428
26,Greenhouse Gases – Emissions,Sectors – Insurance & Financial Services,8430
27,Deforestation – Deforestation,Sectors – Insurance & Financial Services,419
28,Deforestation – Deforestation,Policy Instruments – Economic Instruments,1396
29,Deforestation – Deforestation,Good Practice And Opportunities – Opportunity,438
30,Deforestation – Forests,Sectors – Insurance & Financial Services,1873
31,Deforestation – Forests,Policy Instruments – Economic Instruments,8464
32,Deforestation – Forests,Good Practice And Opportunities – Opportunity,2346
33,"Sectors – Agriculture, Forestry And Other Land Use",Sectors – Insurance & Financial Services,2251
34,Policy Instruments – Economic Instruments,Sectors – Insurance & Financial Services,42417
35,Good Practice And Opportunities – Opportunity,Sectors – Insurance & Financial Services,3018
36,Policy Instruments – Economic Instruments,"Sectors – Agriculture, Forestry And Other Land Use",13041
37,Good Practice And Opportunities – Opportunity,"Sectors – Agriculture, Forestry And Other Land Use",3544
38,Good Practice And Opportunities – Opportunity,Policy Instruments – Economic Instruments,5073
39,"Sectors – Agriculture, Forestry And Other Land Use",Sectors – Water Services,24365
40,Sectors – Industry,Sectors – Water Services,3161
