row,Adaptation – Adaptation,Barriers And Challenges – Barriers,Barriers And Challenges – Challenges,Barriers And Challenges – Lessons Learned,Capacity Building – Capacity-Building,Climate Related Hazards – Environmental Degradatation,Climate Related Hazards – Extreme Weather,Climate Related Hazards – Health Hazards,Climate Related Hazards – Infrastructure Failure,Climate Related Hazards – Marine Hazards,Climate Related Hazards – Terrestrial Hazards,Deforestation – Afforestation,Deforestation – Deforestation,Deforestation – Forest-Risk Commodities,Deforestation – Forests,Deforestation – Illegal Logging,Deforestation – Rainforests,Deforestation – Reforestation,Deforestation – Revegetation,Deforestation – Tropical Forests,Deforestation – Woodlands,Equity And Just Transition – Equity And Justice,Equity And Just Transition – Gender Equality,Equity And Just Transition – Inequality & Human Rights,Equity And Just Transition – Just Transition,Equity And Just Transition – Needs-Based Approach,Financial Flows – Financial Flow,Fossil Fuels – Coal,Fossil Fuels – Fossil Fuel,Fossil Fuels – Gas,Fossil Fuels – Oil,Good Practice And Opportunities – Case Study,Good Practice And Opportunities – Good Practice,Good Practice And Opportunities – Opportunity,Good Practice And Opportunities – Success,Greenhouse Gases – Carbon Dioxide,Greenhouse Gases – Chlorofluorocarbons,Greenhouse Gases – Emissions,Greenhouse Gases – Greenhouse Gases,Greenhouse Gases – Hydrochlorofluorocarbons,Greenhouse Gases – Hydrofluorocarbons,Greenhouse Gases – Methane,Greenhouse Gases – Nitrogen Trifluoride,Greenhouse Gases – Nitrous Oxide,Greenhouse Gases – Ozone,Greenhouse Gases – Ozone-Depleting Substances,Greenhouse Gases – Perfluorocarbons,Greenhouse Gases – Sulphur Hexafluoride,International Cooperation – International Cooperation,Loss And Damage – Loss & Damage,Mitigation – Mitigation,Policy Instruments – Economic Instruments,Policy Instruments – Governance,Policy Instruments – Information And Education,Policy Instruments – Regulatory Instruments,Renewables – Bioenergy,Renewables – Geothermal Energy,Renewables – Heat Pumps,Renewables – Hydropower,Renewables – Marine Energy,Renewables – Renewable Energy (General),Renewables – Renewable Hydrogen,Renewables – Solar Energy,Renewables – Wind Energy,Response Measures – Response Measures,"Sectors – Agriculture, Forestry And Other Land Use",Sectors – Buildings,Sectors – Energy,Sectors – Fisheries & Aquaculture,Sectors – Health Services,Sectors – Industry,Sectors – Insurance & Financial Services,Sectors – Tourism,Sectors – Transport,Sectors – Water Services,Technologies (Adaptation) – Agriculture And Land Management Technologies,Technologies (Adaptation) – Buildings And Homes Technologies,Technologies (Adaptation) – Energy And Power Technologies,Technologies (Adaptation) – Hazard Management Technologies,Technologies (Adaptation) – Transport Technologies,Technologies (Adaptation) – Water Management And Conservation Technologies,Technologies (Mitigation) – Agriculture And Land Management Technologies,Technologies (Mitigation) – Buildings And Homes Technologies,Technologies (Mitigation) – Carbon Capture And Storage,Technologies (Mitigation) – Clean Technologies (General),Technologies (Mitigation) – Energy And Power Technologies,Technologies (Mitigation) – Industrial Technologies,Technologies (Mitigation) – Transport Technologies,Technologies (Mitigation) – Waste And Recycling Technologies,Vulnerable Groups – Children,Vulnerable Groups – Indigenous People,Vulnerable Groups – Local And Rural Communities,Vulnerable Groups – Migrants,Vulnerable Groups – People With Chronic Diseases,Vulnerable Groups – People With Disabilities,Vulnerable Groups – The Elderly,Vulnerable Groups – Vulnerable Groups,Vulnerable Groups – Women And Girls
Adaptation – Adaptation,37335,1779,4016,193,2077,1005,3956,481,16,657,170,225,373,370,3923,3,20,208,13,17,16,604,228,405,1374,15,20312,111,104,83,79,219,469,3141,665,117,0,3653,3162,2,10,75,1,22,37,2,6,14,359,587,13811,6320,8594,6605,3197,319,26,1,162,10,972,0,227,37,149,7345,1037,2020,1449,1770,1408,6385,681,466,4069,69,22,2,1727,5,153,40,40,261,102,573,1,33,59,466,768,511,13,0,28,60,464,2837
Barriers And Challenges – Barriers,1763,1759,1222,25,249,362,1063,173,1,161,58,62,151,101,1033,5,5,52,2,6,5,72,33,118,234,8,2771,157,222,183,236,14,67,642,132,123,4,2506,1418,2,74,104,6,30,22,10,12,23,44,56,1296,1515,698,1354,1630,366,25,21,55,9,520,3,213,52,24,1519,179,1225,333,315,678,1002,99,378,802,25,4,0,154,0,19,17,42,241,63,320,4,131,104,71,106,64,8,0,10,4,44,448
Barriers And Challenges – Challenges,3872,1440,5404,82,1062,639,1757,659,41,182,70,74,196,196,1410,11,10,70,0,14,11,287,48,209,577,0,5454,203,271,247,343,45,144,1562,314,144,1,3750,2544,0,77,157,3,34,26,15,38,54,111,131,2739,2724,2101,1899,1453,560,28,15,107,15,629,10,262,77,68,2665,357,1960,432,648,1058,2434,176,514,1465,17,7,0,220,0,22,52,35,261,79,447,2,79,112,265,206,113,11,1,16,17,119,608
Barriers And Challenges – Lessons Learned,179,21,80,23,36,3,24,5,0,5,4,6,2,0,11,0,0,2,1,0,0,1,0,5,15,0,123,2,12,6,2,5,120,61,35,0,0,45,75,0,0,4,0,1,2,0,2,0,6,9,40,41,87,155,21,8,1,0,1,0,28,1,8,8,1,35,3,38,7,10,19,50,3,9,22,0,0,0,5,0,4,0,1,5,0,7,0,2,0,3,6,8,0,0,0,1,4,20
Capacity Building – Capacity-Building,1930,251,970,37,2816,51,155,52,0,25,4,18,59,37,437,0,4,19,0,2,2,64,20,39,156,5,3338,21,35,21,23,14,100,307,90,8,0,1049,1248,4,18,17,1,0,13,4,5,9,89,102,1658,1902,1758,2480,264,81,11,0,25,0,322,3,84,20,28,615,134,668,62,107,243,2453,49,87,317,3,2,0,137,0,10,4,24,21,32,121,1,13,28,90,81,66,1,0,4,1,31,329
Climate Related Hazards – Environmental Degradatation,965,361,629,9,65,4784,3119,162,3,478,182,174,416,139,2401,10,15,120,7,11,30,36,17,52,387,0,1985,205,75,105,111,45,22,260,59,147,0,1602,932,1,30,129,3,26,121,4,9,6,24,30,697,563,445,583,1068,499,3,5,29,6,111,2,63,19,8,3959,64,705,528,336,192,167,192,158,1517,24,5,0,243,0,25,41,29,162,11,103,2,25,30,75,125,67,11,0,5,12,32,177
Climate Related Hazards – Extreme Weather,4194,1094,1812,29,162,3260,45884,1486,72,2467,1868,94,344,796,3570,26,44,72,3,22,48,56,17,136,1368,0,9158,182,36,189,233,115,60,755,101,150,0,1731,929,0,8,262,1,37,52,1,1,5,40,217,896,2502,1150,2253,3756,396,25,7,392,45,187,0,225,58,36,9486,863,830,1411,1756,411,1074,919,656,9543,72,57,0,1323,2,191,39,54,176,8,252,0,26,54,313,201,192,29,2,26,100,224,476
Climate Related Hazards – Health Hazards,481,165,562,4,51,174,1500,8119,1,91,67,7,34,41,204,0,2,6,0,4,1,38,16,59,262,0,1760,51,94,41,124,17,10,188,54,39,0,865,330,0,7,9,2,0,22,1,2,1,8,6,220,702,217,484,751,47,2,0,8,0,131,0,31,9,11,569,33,284,111,2813,188,316,141,404,1000,4,0,0,90,0,24,4,4,11,4,40,0,47,20,439,44,21,10,0,9,67,56,296
Climate Related Hazards – Infrastructure Failure,8,9,42,0,0,5,93,2,25,1,4,0,5,3,9,0,0,0,0,0,1,0,0,0,4,0,64,11,3,28,24,0,1,4,0,2,0,29,46,0,0,0,0,0,0,0,0,0,0,2,3,22,1,7,48,2,0,0,12,0,3,0,14,0,0,10,11,73,2,1,15,3,1,15,26,0,0,0,0,0,2,0,2,0,0,7,0,3,0,2,2,2,0,0,0,0,0,1
Climate Related Hazards – Marine Hazards,714,186,186,1,20,516,2684,93,3,1769,75,3,23,19,155,0,2,1,0,1,1,5,0,11,162,0,527,6,10,9,36,14,6,96,7,63,0,270,150,0,0,11,0,3,5,0,0,0,8,55,97,178,81,139,293,33,0,2,16,15,12,1,20,0,4,740,123,56,819,71,51,69,270,59,776,2,11,0,128,0,9,0,3,22,0,10,0,0,1,12,20,8,0,0,0,4,19,13
