document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1789.0,7655631851a249a0ccbef5b706912b54__016d25c1778a6ca9ac208265388f7d01704c4e9b2b134b98eb0bb69edaaad905,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning system,16,36,"information and early warning system, including preparedness for risk mitigation related to ocean in collaboration with IOC-UNESCO.",1.0,explorer
UNFCCC.non-party.280.0,6a4ffd71fe4c7666bb17bde9e927c71e__d1ace269c3dadc8915f4056e8702de6786af31d85929e69cd4e65a2c3fea3ff3,BUILDINGS_AND_HOMES_TECHNOLOGIES,HYDROLOGICAL_MODELLING,hydrological models,349,368,"There is high confidence that high-resolution global, regional and hydrological models provide a better representation of land surfaces, including topography, vegetation and land-use change, which can improve the accuracy of simulations of regional changes in the terrestrial water cycle.",1.0,explorer
UNFCCC.non-party.280.0,800d1375e680cfa136a82aeddec326ae__d42afe825d0b08ddcd3534132cd51154cf339755526de3b7460cb74f7a571a15,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,308,329,Monitoring and early warning systems are being put into place to observe tipping elements in the climate system.,1.0,explorer
UNFCCC.non-party.280.0,7cf09784dbbef34d25d6983946920673__d3c907111722d708e1cf2bd8b63566b4d5619004f8d01e16a6b69df01e28f0aa,BUILDINGS_AND_HOMES_TECHNOLOGIES,HYDROLOGICAL_MODELLING,hydrological models,819,838,Global hydrological models project a larger fraction of land areas to be affected by an increase rather than by a decrease in river floods (medium confidence).,1.0,explorer
UNFCCC.non-party.280.0,5b99722528bbd52d8ac2bdfd0eee3efb__a2724fa753f79c771aa4a336f3a60dbe31e5df55afe2e32cfa71091208149df9,HAZARD_MANAGEMENT_TECHNOLOGIES,REMOTE_SENSING,remote sensing,887,901,"Today, observations include those taken by numerous land surface stations, ocean surface measurements from ships and buoys, underwater instrumentation, satellite and surface-based remote sensing, and in situ atmospheric measurements from aeroplanes and balloons.",1.0,explorer
UNFCCC.non-party.280.0,672ed2b71a1080d309702eca93c87761__b16a11c35c0b06e563fcfeb194f61533f57dc1888d308bf75ced1754bcc4add5,HAZARD_MANAGEMENT_TECHNOLOGIES,REMOTE_SENSING,Remote Sensing,1178,1192,"Despite repeated adjustments, however, marked differences remain in the temperature trends from surface, radiosonde, and satellite observations; between the results from three research groups that analyse satellite data (University of Alabama in Huntsville (UAH), Remote Sensing Systems (RSS), and NOAA); and between modelled and satellite-derived tropospheric warming trends (Thorne et al., 2011; Santer et al., 2017).",1.0,explorer
UNFCCC.non-party.280.0,71b0a0ae05a64acb037872574237a101__042b22ab286fb4c660e908701e8013a1b3385f4499f5743fe2cefc225c70f321,HAZARD_MANAGEMENT_TECHNOLOGIES,REMOTE_SENSING,remote sensing,10,24,"Satellite remote sensing also revolutionized studies of the cryosphere (Sections 2.3.2 and 9.3-9.5), particularly near the poles, where conditions make surface observations very difficult.",1.0,explorer
UNFCCC.non-party.280.0,b355c40a5b7add4323b3840620bd686b__917b7d489d81713fa5adfbe83d10c958a04da7ae409fb1c49706cf1b1ad0ad20,HAZARD_MANAGEMENT_TECHNOLOGIES,EARLY_WARNING_SYSTEMS,early warning systems,494,515,"As examples of the use of this terminology, the term 'flood risk' should not be used if it only describes changes in the frequency and intensity of flood events (a hazard); the risk from flooding to human and ecological systems is caused by the flood hazard, the exposure of the system affected (e.g., topography, human settlements or infrastructure in the area potentially affected by flooding) and the vulnerability of the system (e.g., design and maintenance of infrastructure, existence of early warning systems).",1.0,explorer
UNFCCC.non-party.280.0,4ceccbcf7a0d31f19a41e1cfd4dde49a__56296986dda56ad90b4bdad3123f4b0a8d1ad1147bb0aaaf9936fd7e1cbe7074,HAZARD_MANAGEMENT_TECHNOLOGIES,REMOTE_SENSING,remote sensing,139,153,"Impact attribution covers a diverse set of qualitative and quantitative approaches, building on experimental approaches, observations from remote sensing, long-term in situ observations, and monitoring efforts, teamed with local knowledge, process understanding and empirical or dynamical modelling (WGII Section 16.2; Stone et al., 2013; Cramer et al., 2014).",1.0,explorer
UNFCCC.non-party.280.0,2c20aa814856f9129e8ff078f6ce044d__10a75c6fd481c53dff819e81bc349c35bc844dff29ae05974b357063ee68b485,HAZARD_MANAGEMENT_TECHNOLOGIES,REMOTE_SENSING,remote sensing,482,496,"By combining remote sensing and in situ measurements, knowledge of fluxes between the atmosphere and land surface has improved (Rebmann et al., 2018).",1.0,explorer
